Memulai Server OPC UA
Endpoints other than open requested but private key and certificate are not set.
Listening on 10.0.2.2:4840
Memulai Modbus Gateway di 0.0.0.0:5020


[2026-05-19 14:09:25] [iter 8] [Bus 3] P/Q/CMD -> V_in=1.0090 pu, I_in=481.7000 A, PF=0.9320, V_out=1.0090 pu, I_out=481.7000 A, V_DT=1.0082 pu, P=86.3052 MW, Q=33.5644 MVar
[2026-05-19 14:09:25] [iter 8] [Bus 4] P/Q/CMD -> V_in=1.0140 pu, I_in=511.9667 A, PF=0.8129, V_out=1.0140 pu, I_out=511.9667 A, V_DT=1.0100 pu, P=80.4026 MW, Q=57.6045 MVar
[2026-05-19 14:09:25] [iter 8] [Bus 5] P/Q/CMD -> V_in=1.0080 pu, I_in=501.6333 A, PF=0.9518, V_out=1.0080 pu, I_out=501.6333 A, V_DT=1.0078 pu, P=91.6951 MW, Q=29.5489 MVar


[2026-05-19 14:09:29] [iter 9] [Bus 1] P/Q/CMD -> V_in=1.0210 pu, I_in=851.9667 A, PF=0.9514, V_out=1.0210 pu, I_out=851.9667 A, V_DT=1.0200 pu, P=157.6757 MW, Q=51.0379 MVar
[2026-05-19 14:09:29] [iter 9] [Bus 2] P/Q/CMD -> V_in=1.0090 pu, I_in=397.1667 A, PF=0.9232, V_out=1.0090 pu, I_out=397.1667 A, V_DT=1.0097 pu, P=70.4877 MW, Q=29.3434 MVar
[2026-05-19 14:09:29] [iter 9] [Bus 3] P/Q/CMD -> V_in=1.0050 pu, I_in=359.7333 A, PF=0.9010, V_out=1.0050 pu, I_out=359.7333 A, V_DT=1.0067 pu, P=62.0619 MW, Q=29.8819 MVar
[2026-05-19 14:09:29] [iter 9] [Bus 4] P/Q/CMD -> V_in=1.0130 pu, I_in=576.7333 A, PF=0.8950, V_out=1.0130 pu, I_out=576.7333 A, V_DT=1.0100 pu, P=99.6233 MW, Q=49.6520 MVar
[2026-05-19 14:09:29] [iter 9] [Bus 5] P/Q/CMD -> V_in=1.0030 pu, I_in=582.8000 A, PF=0.9611, V_out=1.0030 pu, I_out=582.8000 A, V_DT=1.0079 pu, P=107.0391 MW, Q=30.7609 MVar


[2026-05-19 14:09:33] [iter 10] [Bus 1] P/Q/CMD -> V_in=1.0240 pu, I_in=997.5000 A, PF=0.9625, V_out=1.0240 pu, I_out=997.5000 A, V_DT=1.0200 pu, P=187.3126 MW, Q=52.7943 MVar
[2026-05-19 14:09:33] [iter 10] [Bus 2] P/Q/CMD -> V_in=1.0040 pu, I_in=478.1333 A, PF=0.9292, V_out=1.0040 pu, I_out=478.1333 A, V_DT=1.0101 pu, P=84.9856 MW, Q=33.8019 MVar
[2026-05-19 14:09:33] [iter 10] [Bus 3] P/Q/CMD -> V_in=1.0080 pu, I_in=513.9000 A, PF=0.8989, V_out=1.0080 pu, I_out=513.9000 A, V_DT=1.0076 pu, P=88.7164 MW, Q=43.2433 MVar
[2026-05-19 14:09:33] [iter 10] [Bus 4] P/Q/CMD -> V_in=1.0060 pu, I_in=574.7333 A, PF=0.9070, V_out=1.0060 pu, I_out=574.7333 A, V_DT=1.0100 pu, P=99.9137 MW, Q=46.3911 MVar
[2026-05-19 14:09:33] [iter 10] [Bus 5] P/Q/CMD -> V_in=1.0110 pu, I_in=577.8667 A, PF=0.9875, V_out=1.0110 pu, I_out=577.8667 A, V_DT=1.0077 pu, P=109.9181 MW, Q=17.5445 MVar


[2026-05-19 14:09:37] [iter 11] [Bus 1] P/Q/CMD -> V_in=1.0200 pu, I_in=754.3667 A, PF=0.9716, V_out=1.0200 pu, I_out=754.3667 A, V_DT=1.0200 pu, P=142.4372 MW, Q=34.6900 MVar
[2026-05-19 14:09:37] [iter 11] [Bus 2] P/Q/CMD -> V_in=1.0150 pu, I_in=380.9000 A, PF=0.9487, V_out=1.0150 pu, I_out=380.9000 A, V_DT=1.0082 pu, P=69.8810 MW, Q=23.2896 MVar
[2026-05-19 14:09:37] [iter 11] [Bus 3] P/Q/CMD -> V_in=1.0090 pu, I_in=359.3000 A, PF=0.9456, V_out=1.0090 pu, I_out=359.3000 A, V_DT=1.0051 pu, P=65.3144 MW, Q=22.4713 MVar
[2026-05-19 14:09:37] [iter 11] [Bus 4] P/Q/CMD -> V_in=1.0050 pu, I_in=459.9667 A, PF=0.9076, V_out=1.0050 pu, I_out=459.9667 A, V_DT=1.0100 pu, P=79.9356 MW, Q=36.9765 MVar
[2026-05-19 14:09:37] [iter 11] [Bus 5] P/Q/CMD -> V_in=1.0100 pu, I_in=468.0667 A, PF=0.9652, V_out=1.0100 pu, I_out=468.0667 A, V_DT=1.0081 pu, P=86.9360 MW, Q=23.5546 MVar


[2026-05-19 14:09:41] [iter 12] [Bus 1] P/Q/CMD -> V_in=1.0140 pu, I_in=1121.6667 A, PF=0.9818, V_out=1.0140 pu, I_out=1121.6667 A, V_DT=1.0200 pu, P=212.7542 MW, Q=41.1548 MVar
[2026-05-19 14:09:41] [iter 12] [Bus 2] P/Q/CMD -> V_in=1.0120 pu, I_in=432.6333 A, PF=0.9512, V_out=1.0120 pu, I_out=432.6333 A, V_DT=1.0109 pu, P=79.3461 MW, Q=25.7404 MVar
[2026-05-19 14:09:41] [iter 12] [Bus 3] P/Q/CMD -> V_in=1.0060 pu, I_in=532.4667 A, PF=0.9416, V_out=1.0060 pu, I_out=532.4667 A, V_DT=1.0084 pu, P=96.0971 MW, Q=34.3661 MVar
[2026-05-19 14:09:41] [iter 12] [Bus 4] P/Q/CMD -> V_in=1.0060 pu, I_in=473.0333 A, PF=0.8833, V_out=1.0060 pu, I_out=473.0333 A, V_DT=1.0100 pu, P=80.0850 MW, Q=42.5048 MVar
[2026-05-19 14:09:41] [iter 12] [Bus 5] P/Q/CMD -> V_in=1.0090 pu, I_in=619.4333 A, PF=0.9810, V_out=1.0090 pu, I_out=619.4333 A, V_DT=1.0082 pu, P=116.8175 MW, Q=23.1025 MVar


[2026-05-19 14:09:45] [iter 13] [Bus 1] P/Q/CMD -> V_in=1.0200 pu, I_in=909.1667 A, PF=0.9529, V_out=1.0200 pu, I_out=909.1667 A, V_DT=1.0200 pu, P=168.3621 MW, Q=53.5855 MVar
[2026-05-19 14:09:45] [Bus 1] Command breaker ke RTU: OPEN
[2026-05-19 14:09:45] [iter 13] [Bus 2] P/Q/CMD -> V_in=1.0100 pu, I_in=329.0000 A, PF=0.9026, V_out=1.0100 pu, I_out=329.0000 A, V_DT=1.0091 pu, P=57.1434 MW, Q=27.2536 MVar
[2026-05-19 14:09:45] [iter 13] [Bus 3] P/Q/CMD -> V_in=1.0060 pu, I_in=499.5000 A, PF=0.9041, V_out=1.0060 pu, I_out=499.5000 A, V_DT=1.0060 pu, P=86.5572 MW, Q=40.9111 MVar
[2026-05-19 14:09:45] [iter 13] [Bus 4] P/Q/CMD -> V_in=1.0130 pu, I_in=563.6000 A, PF=0.9222, V_out=1.0130 pu, I_out=563.6000 A, V_DT=1.0100 pu, P=100.3134 MW, Q=42.0652 MVar
[2026-05-19 14:09:45] [iter 13] [Bus 5] P/Q/CMD -> V_in=1.0050 pu, I_in=460.4000 A, PF=0.9877, V_out=1.0050 pu, I_out=460.4000 A, V_DT=1.0078 pu, P=87.0722 MW, Q=13.7842 MVar


[2026-05-19 14:09:49] [iter 14] [Bus 1] P/Q/CMD -> V_in=1.0240 pu, I_in=1133.4000 A, PF=0.9739, V_out=1.0240 pu, I_out=1133.4000 A, V_DT=1.0200 pu, P=215.3530 MW, Q=50.1902 MVar
[2026-05-19 14:09:49] [Bus 1] Command breaker ke RTU: CLOSE
[2026-05-19 14:09:49] [iter 14] [Bus 2] P/Q/CMD -> V_in=1.0040 pu, I_in=428.6000 A, PF=0.9252, V_out=1.0040 pu, I_out=428.6000 A, V_DT=1.0097 pu, P=75.8534 MW, Q=31.1120 MVar
[2026-05-19 14:09:49] [iter 14] [Bus 3] P/Q/CMD -> V_in=1.0050 pu, I_in=453.2667 A, PF=0.9156, V_out=1.0050 pu, I_out=453.2667 A, V_DT=1.0063 pu, P=79.4656 MW, Q=34.8977 MVar
[2026-05-19 14:09:49] [iter 14] [Bus 4] P/Q/CMD -> V_in=1.0140 pu, I_in=626.9667 A, PF=0.8263, V_out=1.0140 pu, I_out=626.9667 A, V_DT=1.0100 pu, P=100.0860 MW, Q=68.2216 MVar
[2026-05-19 14:09:49] [iter 14] [Bus 5] P/Q/CMD -> V_in=1.0110 pu, I_in=630.3333 A, PF=0.9684, V_out=1.0110 pu, I_out=630.3333 A, V_DT=1.0085 pu, P=117.5789 MW, Q=30.2813 MVar


[2026-05-19 14:09:53] [iter 15] [Bus 1] P/Q/CMD -> V_in=1.0170 pu, I_in=0.9333 A, PF=1.0000, V_out=1.0170 pu, I_out=0.9333 A, V_DT=1.0200 pu, P=0.1808 MW, Q=0.0000 MVar
[2026-05-19 14:09:53] [iter 15] [Bus 2] P/Q/CMD -> V_in=0.0030 pu, I_in=1.2667 A, PF=0.0000, V_out=0.0030 pu, I_out=1.2667 A, V_DT=1.0092 pu, P=0.0000 MW, Q=0.0007 MVar
[2026-05-19 14:09:53] [iter 15] [Bus 3] P/Q/CMD -> V_in=0.0010 pu, I_in=0.2000 A, PF=0.0000, V_out=0.0010 pu, I_out=0.2000 A, V_DT=1.0064 pu, P=0.0000 MW, Q=0.0000 MVar
[2026-05-19 14:09:53] [iter 15] [Bus 4] P/Q/CMD -> V_in=0.0000 pu, I_in=0.8333 A, PF=0.0000, V_out=0.0000 pu, I_out=0.8333 A, V_DT=1.0100 pu, P=0.0000 MW, Q=0.0000 MVar
[2026-05-19 14:09:53] [iter 15] [Bus 5] P/Q/CMD -> V_in=0.0000 pu, I_in=0.4000 A, PF=0.0000, V_out=0.0000 pu, I_out=0.4000 A, V_DT=1.0076 pu, P=0.0000 MW, Q=0.0000 MVar


[2026-05-19 14:09:57] [iter 16] [Bus 1] P/Q/CMD -> V_in=1.0210 pu, I_in=1057.0667 A, PF=0.9691, V_out=1.0210 pu, I_out=1057.0667 A, V_DT=1.0200 pu, P=199.2737 MW, Q=50.7218 MVar
[2026-05-19 14:09:57] [Bus 1] Command breaker ke RTU: OPEN
[2026-05-19 14:09:57] [iter 16] [Bus 2] P/Q/CMD -> V_in=1.0120 pu, I_in=351.9667 A, PF=0.9175, V_out=1.0120 pu, I_out=351.9667 A, V_DT=1.0092 pu, P=62.2646 MW, Q=26.9917 MVar
[2026-05-19 14:09:57] [iter 16] [Bus 3] P/Q/CMD -> V_in=1.0120 pu, I_in=633.7000 A, PF=0.9259, V_out=1.0120 pu, I_out=633.7000 A, V_DT=1.0064 pu, P=113.1310 MW, Q=46.1576 MVar
[2026-05-19 14:09:57] [iter 16] [Bus 4] P/Q/CMD -> V_in=1.0080 pu, I_in=627.2667 A, PF=0.8276, V_out=1.0080 pu, I_out=627.2667 A, V_DT=1.0100 pu, P=99.6980 MW, Q=67.6200 MVar
[2026-05-19 14:09:57] [iter 16] [Bus 5] P/Q/CMD -> V_in=1.0070 pu, I_in=589.1333 A, PF=0.9519, V_out=1.0070 pu, I_out=589.1333 A, V_DT=1.0076 pu, P=107.5939 MW, Q=34.6336 MVar


[2026-05-19 14:10:01] [iter 17] [Bus 1] P/Q/CMD -> V_in=1.0180 pu, I_in=954.8333 A, PF=0.9701, V_out=1.0180 pu, I_out=954.8333 A, V_DT=1.0200 pu, P=179.6574 MW, Q=44.9478 MVar
[2026-05-19 14:10:01] [Bus 1] Command breaker ke RTU: CLOSE
[2026-05-19 14:10:01] [iter 17] [Bus 2] P/Q/CMD -> V_in=1.0160 pu, I_in=287.3667 A, PF=0.9502, V_out=1.0160 pu, I_out=287.3667 A, V_DT=1.0086 pu, P=52.8565 MW, Q=17.3356 MVar
[2026-05-19 14:10:01] [iter 17] [Bus 3] P/Q/CMD -> V_in=1.0030 pu, I_in=475.7667 A, PF=0.9180, V_out=1.0030 pu, I_out=475.7667 A, V_DT=1.0049 pu, P=83.4624 MW, Q=36.0562 MVar
[2026-05-19 14:10:01] [iter 17] [Bus 4] P/Q/CMD -> V_in=1.0110 pu, I_in=592.8667 A, PF=0.8771, V_out=1.0110 pu, I_out=592.8667 A, V_DT=1.0100 pu, P=100.1638 MW, Q=54.8506 MVar
[2026-05-19 14:10:01] [iter 17] [Bus 5] P/Q/CMD -> V_in=1.0060 pu, I_in=578.5333 A, PF=0.9653, V_out=1.0060 pu, I_out=578.5333 A, V_DT=1.0075 pu, P=107.0390 MW, Q=28.9574 MVar


[2026-05-19 14:10:05] [iter 18] [Bus 1] P/Q/CMD -> V_in=1.0200 pu, I_in=0.0000 A, PF=1.0000, V_out=1.0200 pu, I_out=0.0000 A, V_DT=1.0200 pu, P=0.0000 MW, Q=0.0000 MVar
[2026-05-19 14:10:05] [iter 18] [Bus 2] P/Q/CMD -> V_in=0.0070 pu, I_in=0.5000 A, PF=0.0000, V_out=0.0070 pu, I_out=0.5000 A, V_DT=1.0107 pu, P=0.0000 MW, Q=0.0007 MVar
[2026-05-19 14:10:05] [iter 18] [Bus 3] P/Q/CMD -> V_in=1.0030 pu, I_in=475.7667 A, PF=0.9180, V_out=1.0030 pu, I_out=475.7667 A, V_DT=1.0073 pu, P=83.4624 MW, Q=36.0562 MVar
[2026-05-19 14:10:05] [iter 18] [Bus 4] P/Q/CMD -> V_in=0.0000 pu, I_in=0.0000 A, PF=0.0000, V_out=0.0000 pu, I_out=0.0000 A, V_DT=1.0100 pu, P=0.0000 MW, Q=0.0000 MVar
[2026-05-19 14:10:05] [iter 18] [Bus 5] P/Q/CMD -> V_in=1.0060 pu, I_in=578.5333 A, PF=0.9653, V_out=1.0060 pu, I_out=578.5333 A, V_DT=1.0077 pu, P=107.0390 MW, Q=28.9574 MVar


[2026-05-19 14:10:09] [iter 19] [Bus 1] P/Q/CMD -> V_in=1.0230 pu, I_in=964.5000 A, PF=0.9696, V_out=1.0230 pu, I_out=964.5000 A, V_DT=1.0200 pu, P=182.2736 MW, Q=45.9999 MVar
[2026-05-19 14:10:09] [Bus 1] Command breaker ke RTU: OPEN
[2026-05-19 14:10:09] [iter 19] [Bus 2] P/Q/CMD -> V_in=1.0100 pu, I_in=389.4333 A, PF=0.9430, V_out=1.0100 pu, I_out=389.4333 A, V_DT=1.0107 pu, P=70.6675 MW, Q=24.9391 MVar
[2026-05-19 14:10:09] [iter 19] [Bus 3] P/Q/CMD -> V_in=1.0100 pu, I_in=474.8333 A, PF=0.9377, V_out=1.0100 pu, I_out=474.8333 A, V_DT=1.0073 pu, P=85.6801 MW, Q=31.7470 MVar
[2026-05-19 14:10:09] [iter 19] [Bus 4] P/Q/CMD -> V_in=1.0040 pu, I_in=576.5333 A, PF=0.9003, V_out=1.0040 pu, I_out=576.5333 A, V_DT=1.0100 pu, P=99.2884 MW, Q=48.0032 MVar
[2026-05-19 14:10:09] [iter 19] [Bus 5] P/Q/CMD -> V_in=1.0060 pu, I_in=464.3667 A, PF=0.9674, V_out=1.0060 pu, I_out=464.3667 A, V_DT=1.0077 pu, P=86.1030 MW, Q=22.5407 MVar


[2026-05-19 14:10:13] [iter 20] [Bus 1] P/Q/CMD -> V_in=1.0230 pu, I_in=1054.0000 A, PF=0.9801, V_out=1.0230 pu, I_out=1054.0000 A, V_DT=1.0200 pu, P=201.3446 MW, Q=40.7793 MVar
[2026-05-19 14:10:13] [Bus 1] Command breaker ke RTU: CLOSE
[2026-05-19 14:10:13] [iter 20] [Bus 2] P/Q/CMD -> V_in=1.0130 pu, I_in=420.3333 A, PF=0.9763, V_out=1.0130 pu, I_out=420.3333 A, V_DT=1.0099 pu, P=79.2027 MW, Q=17.5573 MVar
[2026-05-19 14:10:13] [iter 20] [Bus 3] P/Q/CMD -> V_in=1.0090 pu, I_in=495.4000 A, PF=0.9037, V_out=1.0090 pu, I_out=495.4000 A, V_DT=1.0069 pu, P=86.0646 MW, Q=40.7768 MVar
[2026-05-19 14:10:13] [iter 20] [Bus 4] P/Q/CMD -> V_in=1.0100 pu, I_in=626.0333 A, PF=0.8330, V_out=1.0100 pu, I_out=626.0333 A, V_DT=1.0100 pu, P=100.3499 MW, Q=66.6518 MVar
[2026-05-19 14:10:13] [iter 20] [Bus 5] P/Q/CMD -> V_in=1.0070 pu, I_in=612.3667 A, PF=0.9571, V_out=1.0070 pu, I_out=612.3667 A, V_DT=1.0082 pu, P=112.4480 MW, Q=34.0431 MVar


