waktu,iterasi_ke,bus,i_before,i_after,v_field,v_dt_mitm,v_dt_baseline,drift_mitm,drift_baseline,breaker_mitm,breaker_baseline,i_path
34,2,5,446.965517,446.965517,1.012000,0.995679,1.040422,0.016321,0.028422,0,1,normal
1,3,1,274.137931,1564.827586,1.020000,1.018842,1.043006,0.001158,0.023006,1,1,injected
1,3,2,501.517241,1560.172414,1.022000,1.020247,1.044936,0.001753,0.022936,1,1,injected
1,3,3,454.448276,454.448276,0.977000,1.008984,1.038446,0.031984,0.061446,1,1,normal
1,3,4,299.827586,1658.448276,1.002000,0.973845,1.035786,0.028155,0.033786,1,1,injected
1,3,5,412.655172,1578.275862,0.993000,0.982902,1.037786,0.010098,0.044786,0,1,injected
2,3,1,474.137931,474.137931,0.976000,1.013926,1.043264,0.037926,0.067264,0,1,normal
2,3,2,122.172414,122.172414,1.033000,1.012525,1.043916,0.020475,0.010916,1,1,normal
2,3,3,188.275862,188.275862,1.038000,1.001420,1.038269,0.036580,0.000269,1,1,normal
2,3,4,358.103448,358.103448,0.996000,0.972037,1.036421,0.023963,0.040421,0,1,normal
2,3,5,101.931034,101.931034,0.987000,0.972480,1.038156,0.014520,0.051156,1,1,normal
3,3,1,162.448276,1593.655172,1.035000,1.008249,1.042287,0.026751,0.007287,1,1,injected
3,3,2,452.448276,1525.620690,0.971000,1.022771,1.045656,0.051771,0.074656,0,1,injected
3,3,3,483.448276,1618.206897,0.984000,1.009969,1.039691,0.025969,0.055691,1,1,injected
3,3,4,205.586207,1568.931034,1.020000,0.967802,1.037468,0.052198,0.017468,1,1,injected
3,3,5,531.620690,1547.931034,0.951000,0.975629,1.039377,0.024629,0.088377,0,1,injected
4,3,1,422.689655,1522.482759,0.958000,1.008249,1.043640,0.050249,0.085640,1,1,injected
4,3,2,422.413793,1575.068966,0.998000,1.022771,1.044724,0.024771,0.046724,0,1,injected
4,3,3,365.551724,1543.689655,1.018000,1.009969,1.038993,0.008031,0.020993,1,1,injected
4,3,4,437.655172,1595.241379,0.999000,0.967802,1.037488,0.031198,0.038488,1,1,injected
4,3,5,193.517241,1671.448276,0.959000,0.975629,1.039009,0.016629,0.080009,0,1,injected
5,3,1,218.724138,218.724138,1.018000,1.014071,1.042269,0.003929,0.024269,1,1,normal
5,3,2,294.068966,294.068966,1.008000,1.012878,1.044106,0.004878,0.036106,0,1,normal
5,3,3,274.586207,274.586207,1.002000,0.989790,1.039124,0.012210,0.037124,1,1,normal
5,3,4,228.137931,228.137931,1.024000,0.923830,1.037656,0.100170,0.013656,1,1,normal
5,3,5,203.241379,203.241379,1.020000,0.935138,1.039553,0.084862,0.019553,0,1,normal
6,3,1,218.724138,1691.241379,1.018000,1.035092,1.043346,0.017092,0.025346,1,1,injected
6,3,2,294.068966,1515.931034,1.008000,1.010624,1.044854,0.002624,0.036854,1,1,injected
6,3,3,274.586207,274.586207,1.002000,1.014509,1.039706,0.012509,0.037706,1,1,normal
6,3,4,228.137931,1591.137931,1.024000,1.003930,1.038389,0.020070,0.014389,0,1,injected
6,3,5,203.241379,1591.689655,1.020000,1.004521,1.040193,0.015479,0.020193,1,1,injected
7,3,1,144.793103,1696.034483,0.975000,1.022529,1.044636,0.047529,0.069636,1,1,injected
7,3,2,145.172414,145.172414,0.969000,1.020820,1.045769,0.051820,0.076769,1,1,normal
7,3,3,422.206897,1501.689655,1.002000,1.009656,1.039443,0.007656,0.037443,1,1,injected
7,3,4,189.310345,1603.586207,0.968000,0.967087,1.038086,0.000913,0.070086,1,1,injected
7,3,5,407.793103,407.793103,0.998000,0.976609,1.039634,0.021391,0.041634,0,1,normal
8,3,1,304.586207,1652.172414,1.047000,1.017728,1.044259,0.029272,-0.002741,0,1,injected
8,3,2,135.275862,135.275862,0.978000,1.025322,1.046903,0.047322,0.068903,1,1,normal
8,3,3,194.172414,1649.275862,0.969000,1.011798,1.040491,0.042798,0.071491,1,1,injected
8,3,4,97.413793,1666.068966,0.967000,0.987248,1.039230,0.020248,0.072230,0,1,injected
8,3,5,208.137931,1512.517241,1.002000,0.988358,1.040680,0.013642,0.038680,1,1,injected
9,3,1,316.724138,316.724138,1.047000,0.993722,1.043841,0.053278,-0.003159,1,1,normal
9,3,2,140.896552,140.896552,1.018000,1.007626,1.047200,0.010374,0.029200,0,1,normal
9,3,3,293.413793,293.413793,1.036000,0.970180,1.040362,0.065820,0.004362,1,1,normal
9,3,4,328.620690,328.620690,1.037000,0.887590,1.038479,0.149410,0.001479,1,1,normal
9,3,5,282.896552,282.896552,0.996000,0.900162,1.040050,0.095838,0.044050,0,1,normal
10,3,1,114.310345,1505.000000,0.968000,1.025334,1.043568,0.057334,0.075568,0,1,injected
10,3,2,285.827586,285.827586,1.044000,1.016041,1.047391,0.027959,0.003391,1,1,normal
10,3,3,256.275862,1604.758621,1.032000,1.013219,1.040273,0.018781,0.008273,1,1,injected
10,3,4,381.517241,1669.793103,0.957000,1.000985,1.037985,0.043985,0.080985,0,1,injected
10,3,5,160.965517,1611.517241,0.955000,1.001996,1.039635,0.046996,0.084635,1,1,injected
11,3,1,114.310345,114.310345,0.968000,1.002482,1.044965,0.034482,0.076965,1,1,normal
11,3,2,285.827586,1560.517241,1.044000,1.017628,1.046808,0.026372,0.002808,0,1,injected
11,3,3,256.275862,1660.034483,1.032000,0.986988,1.040006,0.045012,0.008006,1,1,injected
11,3,4,381.517241,1665.310345,0.957000,0.924232,1.037638,0.032768,0.080638,1,1,injected
11,3,5,160.965517,1599.448276,0.955000,0.934656,1.039486,0.020344,0.084486,0,1,injected
12,3,1,220.482759,220.482759,1.006000,1.030574,1.045124,0.024574,0.039124,1,1,normal
12,3,2,133.620690,133.620690,1.049000,0.981432,1.047172,0.067568,-0.001828,1,1,normal
12,3,3,345.931034,345.931034,1.026000,0.979069,1.040002,0.046931,0.014002,1,1,normal
12,3,4,182.137931,182.137931,1.029000,0.962276,1.038015,0.066724,0.009015,0,1,normal
12,3,5,285.827586,285.827586,1.002000,0.963459,1.039692,0.038541,0.037692,1,1,normal
13,3,1,469.551724,1554.689655,0.994000,1.034114,1.043388,0.040114,0.049388,1,1,injected
13,3,2,212.137931,1657.758621,1.049000,1.031008,1.046921,0.017992,-0.002079,1,1,injected
13,3,3,352.275862,1587.137931,1.012000,1.017343,1.039935,0.005343,0.027935,1,1,injected
13,3,4,493.517241,1650.068966,1.024000,0.990871,1.037536,0.033129,0.013536,1,1,injected
13,3,5,186.448276,1615.241379,0.970000,0.998225,1.039476,0.028225,0.069476,0,1,injected
14,3,1,154.758621,154.758621,1.016000,1.024427,1.044547,0.008427,0.028547,1,1,normal
14,3,2,125.206897,1566.551724,0.967000,1.015944,1.047306,0.048944,0.080306,1,1,injected
14,3,3,301.448276,1680.068966,0.950000,0.999734,1.039851,0.049734,0.089851,1,1,injected
14,3,4,214.310345,1605.000000,1.008000,0.977203,1.037276,0.030797,0.029276,0,1,injected
14,3,5,410.413793,1648.413793,0.973000,0.977646,1.038968,0.004646,0.065968,1,1,injected
15,3,1,282.275862,1637.551724,1.020000,1.028862,1.044199,0.008862,0.024199,1,1,injected
15,3,2,485.827586,1609.793103,1.018000,1.005483,1.045586,0.012517,0.027586,1,1,injected
15,3,3,353.172414,1561.172414,1.028000,0.982581,1.039261,0.045419,0.011261,1,1,injected
15,3,4,491.310345,1598.034483,1.016000,0.935789,1.036647,0.080211,0.020647,1,1,injected
15,3,5,330.344828,1517.310345,0.992000,0.947079,1.038462,0.044921,0.046462,0,1,injected
16,3,1,282.275862,282.275862,1.020000,1.019591,1.043960,0.000409,0.023960,1,1,normal
16,3,2,485.827586,485.827586,1.018000,0.997349,1.044405,0.020651,0.026405,1,1,normal
16,3,3,353.172414,353.172414,1.028000,0.973104,1.038772,0.054896,0.010772,1,1,normal
16,3,4,491.310345,491.310345,1.016000,0.940628,1.036111,0.075372,0.020111,0,1,normal
16,3,5,330.344828,330.344828,0.992000,0.941710,1.038011,0.050290,0.046011,1,1,normal
17,3,1,481.000000,1557.827586,1.014000,1.028654,1.043226,0.014654,0.029226,1,1,injected
17,3,2,115.724138,1620.862069,1.032000,1.016895,1.045922,0.015105,0.013922,1,1,injected
17,3,3,231.241379,1586.620690,0.966000,1.002734,1.039787,0.036734,0.073787,1,1,injected
17,3,4,330.517241,1589.689655,1.024000,0.969861,1.037040,0.054139,0.013040,1,1,injected
17,3,5,145.896552,1663.793103,0.978000,0.978750,1.039013,0.000750,0.061013,0,1,injected
18,3,1,533.482759,533.482759,0.959000,1.020201,1.042692,0.061201,0.083692,1,1,normal
18,3,2,295.379310,1505.034483,1.044000,1.005405,1.046141,0.038595,0.002141,1,1,injected
18,3,3,123.551724,1601.068966,0.999000,0.987586,1.040633,0.011414,0.041633,1,1,injected
18,3,4,291.758621,1508.758621,0.953000,0.961419,1.038031,0.008419,0.085031,0,1,injected
