iterasi_ke,waktu,n_bus,avg_i_before,avg_i_after,avg_v_field,avg_v_dt_mitm,avg_v_dt_baseline,avg_drift_mitm,avg_drift_baseline,avg_breaker_mitm,avg_breaker_baseline,share_injected
3,2,5,248.924138,248.924138,1.006000,0.994478,1.040005,0.026693,0.034005,0.600000,1.000000,0.000000
3,3,5,367.110345,1570.868965,0.992200,0.996884,1.040896,0.036264,0.048696,0.600000,1.000000,1.000000
3,4,5,368.365517,1581.586207,0.986400,0.996884,1.040771,0.026176,0.054371,0.600000,1.000000,1.000000
3,5,5,243.751724,243.751724,1.014400,0.975141,1.040542,0.041210,0.026142,0.600000,1.000000,0.000000
3,6,5,243.751724,1332.917241,1.014400,1.013735,1.041298,0.013555,0.026898,0.800000,1.000000,0.800000
3,7,5,261.855172,1070.855172,0.982400,0.999340,1.041514,0.025862,0.059114,0.800000,1.000000,0.600000
3,8,5,187.917241,1323.062069,0.992600,1.006091,1.042313,0.030656,0.049713,0.600000,1.000000,0.800000
3,9,5,272.510345,272.510345,1.026800,0.951856,1.041986,0.074944,0.015186,0.600000,1.000000,0.000000
3,10,5,239.779310,1335.379310,0.991200,1.011515,1.041770,0.039011,0.050570,0.600000,1.000000,0.800000
3,11,5,239.779310,1319.924138,0.991200,0.973197,1.041781,0.031796,0.050581,0.600000,1.000000,0.800000
3,12,5,233.600000,233.600000,1.022400,0.983362,1.042001,0.048868,0.019601,0.800000,1.000000,0.000000
3,13,5,342.786207,1612.979310,1.009800,1.014312,1.041451,0.024961,0.031651,0.800000,1.000000,1.000000
3,14,5,241.227586,1330.958621,0.982800,0.998991,1.041590,0.028510,0.058790,0.800000,1.000000,0.800000
3,15,5,388.586207,1584.772414,1.014800,0.979959,1.040831,0.038386,0.026031,0.800000,1.000000,1.000000
3,16,5,388.586207,388.586207,1.014800,0.974476,1.040252,0.040324,0.025452,0.800000,1.000000,0.000000
3,17,5,260.875862,1603.758621,1.002800,0.999379,1.040998,0.024276,0.038198,0.800000,1.000000,1.000000
3,18,5,289.213793,1342.165518,0.987400,0.987348,1.041485,0.027900,0.054085,0.800000,1.000000,0.800000
3,19,5,402.779310,402.779310,1.001400,0.970458,1.041220,0.056566,0.039820,0.800000,1.000000,0.000000
3,20,5,253.744828,709.331035,1.005800,1.010607,1.041889,0.014098,0.036089,0.800000,1.000000,0.400000
