Waktu;iterasi_ke;bus;i_before;i_after;v_field;v_dt_mitm;v_dt_baseline;breaker_mitm;breaker_baseline;;;
22;1;5;296.000000;1558.931034;0.992000;0.995670;1.040474;0;1;;;
23;1;1;376.000000;1553.551724;1.022000;1.019788;1.042501;1;1;;;
23;1;2;125.344828;125.344828;1.048000;1.022145;1.045912;1;1;;;
23;1;3;239.827586;1657.758621;0.990000;1.010140;1.041162;1;1;;;
23;1;4;190.655172;1569.655172;1.036000;0.999713;1.038987;0;1;;;
23;1;5;294.758621;1541.034483;0.969000;0.999388;1.040664;1;1;;;
24;1;1;212.379310;212.379310;0.992000;1.014423;1.042335;0;1;;;
24;1;2;507.344828;507.344828;0.974000;1.018789;1.046825;1;1;;;
24;1;3;470.068966;470.068966;0.994000;0.996795;1.041288;1;1;;;
24;1;4;109.793103;109.793103;1.004000;0.961668;1.039157;1;1;;;
24;1;5;434.551724;434.551724;1.049000;0.970064;1.040495;0;1;;;
25;1;1;473.793103;1590.586207;1.046000;1.011373;1.043386;1;1;;;
25;1;2;155.862069;1621.896552;1.034000;1.026660;1.045397;0;1;;;
25;1;3;182.448276;1677.034483;0.998000;1.011418;1.040401;1;1;;;
25;1;4;115.034483;1629.448276;0.990000;0.990273;1.039536;0;1;;;
25;1;5;528.379310;1520.965517;0.987000;0.988064;1.040606;1;1;;;
26;1;1;443.793103;1616.103448;0.976000;1.021357;1.042078;0;1;;;
26;1;2;275.586207;1649.931034;0.995000;0.975458;1.046417;1;1;;;
26;1;3;503.413793;1606.517241;1.045000;0.975852;1.041021;1;1;;;
26;1;4;402.206897;402.206897;1.004000;0.952773;1.039594;1;1;;;
26;1;5;226.551724;1606.413793;0.965000;0.961129;1.040468;0;1;;;
27;1;1;327.758621;327.758621;1.046000;0.997077;1.041625;1;1;;;
27;1;2;415.689655;415.689655;1.004000;1.002171;1.046005;0;1;;;
27;1;3;361.344828;1539.517241;0.955000;0.979511;1.040173;1;1;;;
27;1;4;463.448276;1675.655172;1.000000;0.941896;1.038970;0;1;;;
27;1;5;529.275862;529.275862;0.965000;0.937541;1.040235;1;1;;;
28;1;1;327.758621;327.758621;1.046000;1.026635;1.041883;1;1;;;
28;1;2;415.689655;415.689655;1.004000;0.975585;1.044994;1;1;;;
28;1;3;361.344828;361.344828;0.955000;0.975226;1.039340;1;1;;;
28;1;4;463.448276;463.448276;1.000000;0.953373;1.037217;1;1;;;
28;1;5;529.275862;529.275862;0.965000;0.962419;1.038577;0;1;;;
29;1;1;177.344828;1663.275862;0.958000;1.030662;1.043439;1;1;;;
29;1;2;381.793103;1555.034483;1.008000;1.028260;1.045102;1;1;;;
29;1;3;144.689655;1661.413793;0.973000;1.017507;1.039955;1;1;;;
29;1;4;189.103448;1507.965517;1.039000;1.005892;1.037845;0;1;;;
29;1;5;357.448276;1612.827586;1.008000;1.006376;1.039145;1;1;;;
30;1;1;347.931034;347.931034;0.991000;1.020756;1.044434;1;1;;;
30;1;2;498.551724;498.551724;1.002000;1.011436;1.045144;1;1;;;
30;1;3;415.758621;1583.965517;0.970000;0.992905;1.040302;1;1;;;
30;1;4;269.379310;1681.827586;0.973000;0.957290;1.038183;1;1;;;
30;1;5;216.448276;1501.448276;1.016000;0.966383;1.039446;0;1;;;
31;1;1;427.034483;427.034483;0.981000;1.027263;1.043779;1;1;;;
31;1;2;302.827586;302.827586;0.957000;1.016528;1.044364;1;1;;;
31;1;3;501.724138;501.724138;1.049000;0.996418;1.040074;1;1;;;
31;1;4;190.034483;190.034483;0.957000;0.970283;1.039000;0;1;;;
31;1;5;511.068966;511.068966;0.976000;0.970573;1.040361;1;1;;;
32;1;1;427.034483;1522.241379;0.981000;1.032240;1.042833;1;1;;;
32;1;2;302.827586;1575.448276;0.957000;1.028071;1.044630;1;1;;;
32;1;3;501.724138;501.724138;1.049000;1.014037;1.039598;1;1;;;
32;1;4;190.034483;1657.206897;0.957000;0.987823;1.038950;1;1;;;
32;1;5;511.068966;1651.448276;0.976000;0.994883;1.040071;0;1;;;
33;1;1;457.827586;1564.103448;1.038000;1.024145;1.041849;1;1;;;
33;1;2;159.620690;1623.724138;0.986000;1.019431;1.045533;1;1;;;
33;1;3;385.034483;1590.413793;1.033000;1.006555;1.039626;1;1;;;
33;1;4;517.068966;1676.206897;1.010000;0.982199;1.038171;0;1;;;
33;1;5;90.103448;1582.482759;1.014000;0.981922;1.039845;1;1;;;
34;1;1;213.137931;1683.034483;1.031000;1.015134;1.042983;1;1;;;
34;1;2;493.482759;1564.896552;1.016000;1.001088;1.044764;1;1;;;
34;1;3;144.172414;144.172414;0.963000;0.977342;1.039847;1;1;;;
34;1;4;345.275862;345.275862;0.960000;0.926250;1.037906;1;1;;;
34;1;5;362.689655;1611.413793;0.977000;0.937543;1.039539;0;1;;;
1;2;1;450.000000;1556.172414;0.950000;1.010419;1.044642;1;1;;;
1;2;2;200.655172;1603.724138;1.012000;1.020525;1.045190;0;1;;;
1;2;3;323.206897;1679.241379;1.024000;1.009053;1.039847;1;1;;;
1;2;4;93.000000;1630.620690;0.992000;0.976069;1.038758;1;1;;;
1;2;5;498.137931;498.137931;0.957000;0.981387;1.040262;0;1;;;
2;2;1;450.000000;450.000000;0.950000;1.023522;1.043401;0;1;;;
2;2;2;333.448276;1518.034483;1.033000;0.977424;1.045938;1;1;;;
2;2;3;149.448276;1647.275862;0.964000;0.986385;1.040262;1;1;;;
2;2;4;493.413793;1526.275862;0.980000;0.984127;1.039300;0;1;;;
2;2;5;453.655172;1693.655172;1.029000;0.986029;1.040461;1;1;;;
3;2;1;315.586207;315.586207;1.040000;1.012773;1.043185;1;1;;;
3;2;2;333.448276;333.448276;1.033000;0.998995;1.045583;0;1;;;
3;2;3;149.448276;149.448276;0.964000;0.976598;1.040026;1;1;;;
3;2;4;493.413793;493.413793;0.980000;0.924008;1.037403;1;1;;;
3;2;5;453.655172;453.655172;1.029000;0.933951;1.038776;0;1;;;
4;2;1;173.655172;173.655172;1.039000;1.034114;1.044187;1;1;;;
4;2;2;136.758621;1652.310345;0.974000;0.991955;1.045991;1;1;;;
4;2;3;464.413793;1512.068966;1.028000;1.000063;1.039082;1;1;;;
