cmd_id,origin_cycle,ts_received,bus,breaker_DT
33,41,1780260345.068474,3,0
33,41,1780260345.068474,4,1
33,41,1780260345.068474,5,1
34,42,1780260346.071164,1,1
34,42,1780260346.071164,2,1
34,42,1780260346.071164,3,0
34,42,1780260346.071164,4,1
34,42,1780260346.071164,5,1
34,42,1780260347.071390,1,1
34,42,1780260347.071390,2,1
34,42,1780260347.071390,3,0
34,42,1780260347.071390,4,1
34,42,1780260347.071390,5,1
35,43,1780260348.078767,1,1
35,43,1780260348.078767,2,1
35,43,1780260348.078767,3,1
35,43,1780260348.078767,4,1
35,43,1780260348.078767,5,1
35,43,1780260349.078954,1,1
35,43,1780260349.078954,2,1
35,43,1780260349.078954,3,1
35,43,1780260349.078954,4,1
35,43,1780260349.078954,5,1
36,45,1780260350.079171,1,1
36,45,1780260350.079171,2,1
36,45,1780260350.079171,3,1
36,45,1780260350.079171,4,1
36,45,1780260350.079171,5,1
36,45,1780260351.094630,1,1
36,45,1780260351.094630,2,1
36,45,1780260351.094630,3,1
36,45,1780260351.094630,4,1
36,45,1780260351.094630,5,1
37,47,1780260352.094800,1,1
37,47,1780260352.094800,2,0
37,47,1780260352.094800,3,0
37,47,1780260352.094800,4,1
37,47,1780260352.094800,5,1
39,50,1780260353.096412,1,0
39,50,1780260353.096412,2,0
39,50,1780260353.096412,3,0
39,50,1780260353.096412,4,1
39,50,1780260353.096412,5,1
39,50,1780260354.116151,1,0
39,50,1780260354.116151,2,0
39,50,1780260354.116151,3,0
39,50,1780260354.116151,4,1
39,50,1780260354.116151,5,1
40,51,1780260355.120522,1,1
40,51,1780260355.120522,2,1
40,51,1780260355.120522,3,0
40,51,1780260355.120522,4,1
40,51,1780260355.120522,5,1
40,51,1780260356.120965,1,1
40,51,1780260356.120965,2,1
40,51,1780260356.120965,3,0
40,51,1780260356.120965,4,1
40,51,1780260356.120965,5,1
42,53,1780260357.120945,1,1
42,53,1780260357.120945,2,0
42,53,1780260357.120945,3,0
42,53,1780260357.120945,4,1
42,53,1780260357.120945,5,1
42,53,1780260358.123317,1,1
42,53,1780260358.123317,2,0
42,53,1780260358.123317,3,0
42,53,1780260358.123317,4,1
42,53,1780260358.123317,5,1
43,55,1780260359.123479,1,1
43,55,1780260359.123479,2,1
43,55,1780260359.123479,3,1
43,55,1780260359.123479,4,1
43,55,1780260359.123479,5,1
44,56,1780260360.127197,1,1
44,56,1780260360.127197,2,1
44,56,1780260360.127197,3,0
44,56,1780260360.127197,4,1
44,56,1780260360.127197,5,1
45,58,1780260361.128600,1,0
45,58,1780260361.128600,2,0
45,58,1780260361.128600,3,0
45,58,1780260361.128600,4,1
45,58,1780260361.128600,5,1
46,59,1780260362.129048,1,1
46,59,1780260362.129048,2,1
46,59,1780260362.129048,3,1
46,59,1780260362.129048,4,1
46,59,1780260362.129048,5,1
47,60,1780260363.129990,1,1
47,60,1780260363.129990,2,0
47,60,1780260363.129990,3,0
47,60,1780260363.129990,4,1
47,60,1780260363.129990,5,1
48,61,1780260364.132593,1,0
48,61,1780260364.132593,2,0
48,61,1780260364.132593,3,0
48,61,1780260364.132593,4,1
48,61,1780260364.132593,5,1
49,62,1780260365.132983,1,1
49,62,1780260365.132983,2,1
49,62,1780260365.132983,3,0
49,62,1780260365.132983,4,1
49,62,1780260365.132983,5,1
50,63,1780260366.134217,1,1
50,63,1780260366.134217,2,0
50,63,1780260366.134217,3,0
50,63,1780260366.134217,4,1
50,63,1780260366.134217,5,1
51,64,1780260367.138122,1,1
51,64,1780260367.138122,2,1
51,64,1780260367.138122,3,1
51,64,1780260367.138122,4,1
51,64,1780260367.138122,5,1
52,65,1780260368.139637,1,1
52,65,1780260368.139637,2,1
52,65,1780260368.139637,3,0
52,65,1780260368.139637,4,1
52,65,1780260368.139637,5,1
52,65,1780260369.140103,1,1
52,65,1780260369.140103,2,0
52,65,1780260369.140103,3,0
52,65,1780260369.140103,4,1
52,65,1780260369.140103,5,1
53,66,1780260370.146456,1,1
53,66,1780260370.146456,2,1
53,66,1780260370.146456,3,1
53,66,1780260370.146456,4,1
53,66,1780260370.146456,5,1
55,68,1780260371.195824,1,1
55,68,1780260371.195824,2,1
55,68,1780260371.195824,3,0
55,68,1780260371.195824,4,1
55,68,1780260371.195824,5,1
55,68,1780260372.199111,1,0
55,68,1780260372.199111,2,0
55,68,1780260372.199111,3,0
55,68,1780260372.199111,4,1
55,68,1780260372.199111,5,1
56,69,1780260373.200251,1,0
56,69,1780260373.200251,2,0
56,69,1780260373.200251,3,0
56,69,1780260373.200251,4,1
56,69,1780260373.200251,5,1
56,69,1780260374.201092,1,1
56,69,1780260374.201092,2,1
56,69,1780260374.201092,3,1
56,69,1780260374.201092,4,1
56,69,1780260374.201092,5,1
58,71,1780260375.204906,1,1
58,71,1780260375.204906,2,1
58,71,1780260375.204906,3,0
58,71,1780260375.204906,4,1
58,71,1780260375.204906,5,1
58,71,1780260376.206398,1,0
58,71,1780260376.206398,2,0
58,71,1780260376.206398,3,0
58,71,1780260376.206398,4,1
58,71,1780260376.206398,5,1
60,73,1780260377.211332,1,0
60,73,1780260377.211332,2,0
60,73,1780260377.211332,3,0
60,73,1780260377.211332,4,1
60,73,1780260377.211332,5,1
60,73,1780260378.211496,1,0
60,73,1780260378.211496,2,0
60,73,1780260378.211496,3,0
60,73,1780260378.211496,4,1
60,73,1780260378.211496,5,1
60,73,1780260379.211869,1,1
60,73,1780260379.211869,2,1
60,73,1780260379.211869,3,1
60,73,1780260379.211869,4,1
60,73,1780260379.211869,5,1
62,75,1780260380.212302,1,1
62,75,1780260380.212302,2,1
62,75,1780260380.212302,3,1
62,75,1780260380.212302,4,1
62,75,1780260380.212302,5,1
62,75,1780260381.214473,1,1
62,75,1780260381.214473,2,1
62,75,1780260381.214473,3,1
62,75,1780260381.214473,4,1
62,75,1780260381.214473,5,1
62,75,1780260382.215585,1,1
62,75,1780260382.215585,2,1
62,75,1780260382.215585,3,1
62,75,1780260382.215585,4,1
62,75,1780260382.215585,5,1
62,75,1780260383.217177,1,1
62,75,1780260383.217177,2,1
62,75,1780260383.217177,3,1
62,75,1780260383.217177,4,1
62,75,1780260383.217177,5,1
62,75,1780260384.218317,1,1
62,75,1780260384.218317,2,1
62,75,1780260384.218317,3,1
62,75,1780260384.218317,4,1
62,75,1780260384.218317,5,1
62,75,1780260385.219000,1,1
62,75,1780260385.219000,2,1
62,75,1780260385.219000,3,1
62,75,1780260385.219000,4,1
62,75,1780260385.219000,5,1
62,75,1780260386.234973,1,1
62,75,1780260386.234973,2,1
62,75,1780260386.234973,3,1
62,75,1780260386.234973,4,1
62,75,1780260386.234973,5,1
62,75,1780260387.296972,1,1
62,75,1780260387.296972,2,0
62,75,1780260387.296972,3,1
62,75,1780260387.296972,4,1
62,75,1780260387.296972,5,1
64,77,1780260388.298203,1,1
64,77,1780260388.298203,2,0
64,77,1780260388.298203,3,0
64,77,1780260388.298203,4,1
64,77,1780260388.298203,5,1
64,77,1780260389.299374,1,1
64,77,1780260389.299374,2,0
64,77,1780260389.299374,3,0
64,77,1780260389.299374,4,1
64,77,1780260389.299374,5,1
64,77,1780260390.305096,1,1
64,77,1780260390.305096,2,0
64,77,1780260390.305096,3,0
64,77,1780260390.305096,4,1
64,77,1780260390.305096,5,1
64,77,1780260391.306087,1,1
64,77,1780260391.306087,2,0
64,77,1780260391.306087,3,0
64,77,1780260391.306087,4,1
64,77,1780260391.306087,5,1
64,77,1780260392.307601,1,1
64,77,1780260392.307601,2,0
64,77,1780260392.307601,3,0
64,77,1780260392.307601,4,1
64,77,1780260392.307601,5,1
64,77,1780260393.308621,1,1
64,77,1780260393.308621,2,0
64,77,1780260393.308621,3,0
64,77,1780260393.308621,4,1
64,77,1780260393.308621,5,1
64,77,1780260394.309873,1,1
64,77,1780260394.309873,2,0
64,77,1780260394.309873,3,0
64,77,1780260394.309873,4,1
64,77,1780260394.309873,5,1
64,77,1780260395.311432,1,1
64,77,1780260395.311432,2,0
64,77,1780260395.311432,3,0
64,77,1780260395.311432,4,1
64,77,1780260395.311432,5,1
