cmd_id,origin_cycle,ts_received,ts_sent,breaker_DT
38,44,1780252297.101776,1780252297.108578,1:0;2:0;3:0;4:1;5:1
39,44,1780252298.102939,1780252298.111516,1:1;2:1;3:1;4:1;5:1
40,45,1780252299.103850,1780252299.107222,1:1;2:1;3:0;4:1;5:1
41,47,1780252300.107042,1780252300.112929,1:1;2:1;3:1;4:1;5:1
42,48,1780252301.107957,1780252301.111373,1:1;2:1;3:1;4:1;5:1
43,49,1780252302.110106,1780252302.113532,1:0;2:0;3:0;4:0;5:1
44,49,1780252303.111187,1780252303.115489,1:0;2:0;3:0;4:0;5:1
45,51,1780252304.111913,1780252304.116473,1:1;2:0;3:0;4:0;5:1
46,52,1780252305.114016,1780252305.117415,1:1;2:0;3:0;4:0;5:1
47,53,1780252306.114541,1780252306.120242,1:1;2:1;3:0;4:0;5:1
48,54,1780252307.116383,1780252307.119543,1:1;2:1;3:0;4:0;5:1
49,55,1780252308.126682,1780252308.137015,1:1;2:1;3:1;4:0;5:1
50,55,1780252309.129354,1780252309.136968,1:1;2:1;3:1;4:0;5:1
51,57,1780252310.130586,1780252310.136694,1:1;2:1;3:1;4:1;5:1
52,58,1780252311.131250,1780252311.136740,1:1;2:1;3:1;4:1;5:1
53,59,1780252312.138881,1780252312.143449,1:0;2:0;3:0;4:1;5:1
54,60,1780252313.153116,1780252313.161078,1:0;2:0;3:0;4:1;5:1
55,61,1780252314.155794,1780252314.163041,1:1;2:0;3:0;4:1;5:1
56,62,1780252315.163859,1780252315.177842,1:1;2:0;3:0;4:1;5:1
57,62,1780252316.179071,1780252316.183194,1:1;2:0;3:0;4:1;5:1
58,64,1780252317.181187,1780252317.185906,1:1;2:1;3:0;4:1;5:1
59,65,1780252318.184311,1780252318.190766,1:1;2:1;3:0;4:1;5:1
60,66,1780252319.581321,1780252319.626832,1:1;2:1;3:1;4:1;5:1
61,67,1780252320.584630,1780252320.588750,1:1;2:1;3:1;4:1;5:1
62,67,1780252321.585934,1780252321.593063,1:1;2:1;3:1;4:1;5:1
63,69,1780252322.588161,1780252322.606824,1:1;2:1;3:1;4:1;5:1
64,69,1780252323.590312,1780252323.595141,1:0;2:0;3:0;4:1;5:1
65,70,1780252324.622138,1780252324.627422,1:1;2:0;3:0;4:1;5:1
66,71,1780252325.629991,1780252325.640172,1:1;2:1;3:0;4:1;5:1
67,72,1780252326.630396,1780252326.637771,1:1;2:1;3:0;4:1;5:1
68,74,1780252327.632244,1780252327.640148,1:1;2:1;3:1;4:1;5:1
69,75,1780252328.635473,1780252328.637261,1:1;2:1;3:1;4:1;5:1
70,76,1780252329.636571,1780252329.639111,1:1;2:1;3:1;4:1;5:1
71,77,1780252330.638777,1780252330.642143,1:0;2:0;3:0;4:1;5:1
72,78,1780252331.639721,1780252331.641949,1:0;2:0;3:0;4:1;5:1
73,79,1780252332.647640,1780252332.655193,1:0;2:0;3:0;4:1;5:1
74,79,1780252333.649327,1780252333.652515,1:1;2:0;3:0;4:1;5:1
75,80,1780252334.650422,1780252334.651895,1:1;2:0;3:0;4:1;5:1
76,81,1780252335.652318,1780252335.655357,1:1;2:1;3:0;4:1;5:1
77,82,1780252336.652784,1780252336.654890,1:1;2:1;3:0;4:1;5:1
78,83,1780252337.653984,1780252337.656147,1:1;2:1;3:1;4:1;5:1
79,84,1780252338.655190,1780252338.660498,1:1;2:1;3:1;4:1;5:1
80,85,1780252339.668562,1780252339.683505,1:1;2:0;3:1;4:1;5:1
