scenario (-),iteration (-),cycle_id (-),bus (-),v_field (pu),v_dt (pu),drift_signed (pu),drift_abs (pu),drift (%)
baseline,iteration_1,34,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,34,2,1.011566,1.011575,0.000009,0.000009,0.000890
baseline,iteration_1,34,3,1.009675,1.009681,0.000006,0.000006,0.000594
baseline,iteration_1,34,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,34,5,1.006680,1.006681,0.000001,0.000001,0.000099
baseline,iteration_1,35,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,35,2,1.010380,1.010377,-0.000003,0.000003,0.000297
baseline,iteration_1,35,3,1.008737,1.008740,0.000003,0.000003,0.000297
baseline,iteration_1,35,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,35,5,1.006653,1.006658,0.000005,0.000005,0.000497
baseline,iteration_1,36,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,36,2,1.010224,1.010233,0.000009,0.000009,0.000891
baseline,iteration_1,36,3,1.008492,1.008509,0.000017,0.000017,0.001686
baseline,iteration_1,36,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,36,5,1.007559,1.007575,0.000016,0.000016,0.001588
baseline,iteration_1,37,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,37,2,1.011107,1.011121,0.000014,0.000014,0.001385
baseline,iteration_1,37,3,1.009155,1.009163,0.000008,0.000008,0.000793
baseline,iteration_1,37,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,37,5,1.007413,1.007390,-0.000023,0.000023,0.002283
baseline,iteration_1,38,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,38,2,1.010904,1.010870,-0.000034,0.000034,0.003363
baseline,iteration_1,38,3,1.009165,1.009133,-0.000032,0.000032,0.003171
baseline,iteration_1,38,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,38,5,1.006949,1.006977,0.000028,0.000028,0.002781
baseline,iteration_1,39,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,39,2,1.011185,1.011182,-0.000003,0.000003,0.000297
baseline,iteration_1,39,3,1.009516,1.009510,-0.000006,0.000006,0.000594
baseline,iteration_1,39,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,39,5,1.007365,1.006977,-0.000388,0.000388,0.038516
baseline,iteration_1,40,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,40,2,1.011585,1.011803,0.000218,0.000218,0.021550
baseline,iteration_1,40,3,1.009579,1.009883,0.000304,0.000304,0.030112
baseline,iteration_1,40,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,40,5,1.007157,1.007362,0.000205,0.000205,0.020354
baseline,iteration_1,41,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,41,2,1.010168,1.011589,0.001421,0.001421,0.140670
baseline,iteration_1,41,3,1.008223,1.009581,0.001358,0.001358,0.134692
baseline,iteration_1,41,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,41,5,1.007106,1.007121,0.000015,0.000015,0.001489
baseline,iteration_1,42,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,42,2,1.011072,1.011077,0.000005,0.000005,0.000495
baseline,iteration_1,42,3,1.009384,1.009391,0.000007,0.000007,0.000693
baseline,iteration_1,42,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,42,5,1.007317,1.007319,0.000002,0.000002,0.000199
baseline,iteration_1,43,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,43,2,1.010581,1.010586,0.000005,0.000005,0.000495
baseline,iteration_1,43,3,1.008642,1.008655,0.000013,0.000013,0.001289
baseline,iteration_1,43,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,43,5,1.007317,1.007314,-0.000003,0.000003,0.000298
baseline,iteration_1,44,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,44,2,1.011134,1.011117,-0.000017,0.000017,0.001681
baseline,iteration_1,44,3,1.009235,1.009214,-0.000021,0.000021,0.002081
baseline,iteration_1,44,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,44,5,1.006964,1.006960,-0.000004,0.000004,0.000397
baseline,iteration_1,45,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,45,2,1.011279,1.011254,-0.000025,0.000025,0.002472
baseline,iteration_1,45,3,1.009287,1.009262,-0.000025,0.000025,0.002477
baseline,iteration_1,45,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,45,5,1.006820,1.006793,-0.000027,0.000027,0.002682
baseline,iteration_1,46,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,46,2,1.010697,1.010697,0.000000,0.000000,0.000000
baseline,iteration_1,46,3,1.009152,1.009157,0.000005,0.000005,0.000495
baseline,iteration_1,46,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,46,5,1.006612,1.006603,-0.000009,0.000009,0.000894
baseline,iteration_1,47,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,47,2,1.010244,1.010243,-0.000001,0.000001,0.000099
baseline,iteration_1,47,3,1.008820,1.008817,-0.000003,0.000003,0.000297
baseline,iteration_1,47,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,47,5,1.006876,1.006890,0.000014,0.000014,0.001390
baseline,iteration_1,48,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,48,2,1.011352,1.011349,-0.000003,0.000003,0.000297
baseline,iteration_1,48,3,1.009500,1.009497,-0.000003,0.000003,0.000297
baseline,iteration_1,48,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,48,5,1.006728,1.006705,-0.000023,0.000023,0.002285
baseline,iteration_1,49,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,49,2,1.010523,1.010537,0.000014,0.000014,0.001385
baseline,iteration_1,49,3,1.009051,1.009053,0.000002,0.000002,0.000198
baseline,iteration_1,49,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,49,5,1.006600,1.006613,0.000013,0.000013,0.001291
baseline,iteration_1,50,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,50,2,1.011055,1.011072,0.000017,0.000017,0.001681
baseline,iteration_1,50,3,1.009551,1.009560,0.000009,0.000009,0.000891
baseline,iteration_1,50,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,50,5,1.006800,1.006775,-0.000025,0.000025,0.002483
baseline,iteration_1,51,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,51,2,1.010156,1.010183,0.000027,0.000027,0.002673
baseline,iteration_1,51,3,1.008412,1.008431,0.000019,0.000019,0.001884
baseline,iteration_1,51,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,51,5,1.007523,1.007532,0.000009,0.000009,0.000893
baseline,iteration_1,52,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,52,2,1.009972,1.009978,0.000006,0.000006,0.000594
baseline,iteration_1,52,3,1.008332,1.008331,-0.000001,0.000001,0.000099
baseline,iteration_1,52,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,52,5,1.006879,1.006909,0.000030,0.000030,0.002980
baseline,iteration_1,53,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,53,2,1.011230,1.011247,0.000017,0.000017,0.001681
baseline,iteration_1,53,3,1.009288,1.009306,0.000018,0.000018,0.001783
baseline,iteration_1,53,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,53,5,1.006668,1.006657,-0.000011,0.000011,0.001093
baseline,iteration_1,54,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,54,2,1.010700,1.010698,-0.000002,0.000002,0.000198
baseline,iteration_1,54,3,1.008995,1.008990,-0.000005,0.000005,0.000496
baseline,iteration_1,54,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,54,5,1.007167,1.007179,0.000012,0.000012,0.001191
baseline,iteration_1,55,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,55,2,1.011479,1.011484,0.000005,0.000005,0.000494
baseline,iteration_1,55,3,1.009490,1.009494,0.000004,0.000004,0.000396
baseline,iteration_1,55,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,55,5,1.007307,1.007300,-0.000007,0.000007,0.000695
baseline,iteration_1,56,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,56,2,1.011755,1.011741,-0.000014,0.000014,0.001384
baseline,iteration_1,56,3,1.009887,1.009867,-0.000020,0.000020,0.001980
baseline,iteration_1,56,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,56,5,1.007290,1.007278,-0.000012,0.000012,0.001191
baseline,iteration_1,57,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,57,2,1.009520,1.009528,0.000008,0.000008,0.000792
baseline,iteration_1,57,3,1.007828,1.007833,0.000005,0.000005,0.000496
baseline,iteration_1,57,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,57,5,1.007263,1.007265,0.000002,0.000002,0.000199
baseline,iteration_1,58,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,58,2,1.011112,1.011108,-0.000004,0.000004,0.000396
baseline,iteration_1,58,3,1.009099,1.009091,-0.000008,0.000008,0.000793
baseline,iteration_1,58,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,58,5,1.006718,1.006700,-0.000018,0.000018,0.001788
baseline,iteration_1,59,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,59,2,1.011341,1.011340,-0.000001,0.000001,0.000099
baseline,iteration_1,59,3,1.009600,1.009599,-0.000001,0.000001,0.000099
baseline,iteration_1,59,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,59,5,1.006697,1.006683,-0.000014,0.000014,0.001391
baseline,iteration_1,60,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,60,2,1.009983,1.009966,-0.000017,0.000017,0.001683
baseline,iteration_1,60,3,1.008223,1.008200,-0.000023,0.000023,0.002281
baseline,iteration_1,60,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,60,5,1.006583,1.006573,-0.000010,0.000010,0.000993
baseline,iteration_1,61,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,61,2,1.009197,1.009196,-0.000001,0.000001,0.000099
baseline,iteration_1,61,3,1.007604,1.007602,-0.000002,0.000002,0.000198
baseline,iteration_1,61,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,61,5,1.007112,1.007109,-0.000003,0.000003,0.000298
baseline,iteration_1,62,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,62,2,1.010088,1.010114,0.000026,0.000026,0.002574
baseline,iteration_1,62,3,1.008496,1.008521,0.000025,0.000025,0.002479
baseline,iteration_1,62,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,62,5,1.007136,1.007136,0.000000,0.000000,0.000000
baseline,iteration_1,63,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,63,2,1.011701,1.011687,-0.000014,0.000014,0.001384
baseline,iteration_1,63,3,1.010018,1.010009,-0.000009,0.000009,0.000891
baseline,iteration_1,63,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,63,5,1.007217,1.007229,0.000012,0.000012,0.001191
baseline,iteration_1,64,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,64,2,1.010355,1.010338,-0.000017,0.000017,0.001683
