scenario (-),iteration (-),cmd_id (-),origin_cycle (-),bus (-),field_breaker_actual (-),dt_breaker_cmd (-),false_control_action (-)
baseline,iteration_1,76,79,1,1,1,0
baseline,iteration_1,76,79,2,1,1,0
baseline,iteration_1,76,79,3,1,1,0
baseline,iteration_1,76,79,4,1,1,0
baseline,iteration_1,76,79,5,1,1,0
baseline,iteration_1,77,80,1,1,1,0
baseline,iteration_1,77,80,2,1,1,0
baseline,iteration_1,77,80,3,1,1,0
baseline,iteration_1,77,80,4,1,1,0
baseline,iteration_1,77,80,5,1,1,0
baseline,iteration_1,78,81,1,1,1,0
baseline,iteration_1,78,81,2,1,1,0
baseline,iteration_1,78,81,3,1,1,0
baseline,iteration_1,78,81,4,1,1,0
baseline,iteration_1,78,81,5,1,1,0
baseline,iteration_1,79,82,1,1,1,0
baseline,iteration_1,79,82,2,1,1,0
baseline,iteration_1,79,82,3,1,1,0
baseline,iteration_1,79,82,4,1,1,0
baseline,iteration_1,79,82,5,1,1,0
baseline,iteration_1,80,83,1,1,1,0
baseline,iteration_1,80,83,2,1,1,0
baseline,iteration_1,80,83,3,1,1,0
baseline,iteration_1,80,83,4,1,1,0
baseline,iteration_1,80,83,5,1,1,0
baseline,iteration_1,81,84,1,1,1,0
baseline,iteration_1,81,84,2,1,1,0
baseline,iteration_1,81,84,3,1,1,0
baseline,iteration_1,81,84,4,1,1,0
baseline,iteration_1,81,84,5,1,1,0
baseline,iteration_1,82,85,1,1,1,0
baseline,iteration_1,82,85,2,1,1,0
baseline,iteration_1,82,85,3,1,1,0
baseline,iteration_1,82,85,4,1,1,0
baseline,iteration_1,82,85,5,1,1,0
baseline,iteration_1,83,86,1,1,1,0
baseline,iteration_1,83,86,2,1,1,0
baseline,iteration_1,83,86,3,1,1,0
baseline,iteration_1,83,86,4,1,1,0
baseline,iteration_1,83,86,5,1,1,0
baseline,iteration_1,84,87,1,1,1,0
baseline,iteration_1,84,87,2,1,1,0
baseline,iteration_1,84,87,3,1,1,0
baseline,iteration_1,84,87,4,1,1,0
baseline,iteration_1,84,87,5,1,1,0
baseline,iteration_1,85,88,1,1,1,0
baseline,iteration_1,85,88,2,1,1,0
baseline,iteration_1,85,88,3,1,1,0
baseline,iteration_1,85,88,4,1,1,0
baseline,iteration_1,85,88,5,1,1,0
baseline,iteration_1,86,89,1,1,1,0
baseline,iteration_1,86,89,2,1,1,0
baseline,iteration_1,86,89,3,1,1,0
baseline,iteration_1,86,89,4,1,1,0
baseline,iteration_1,86,89,5,1,1,0
baseline,iteration_1,87,90,1,1,1,0
baseline,iteration_1,87,90,2,1,1,0
baseline,iteration_1,87,90,3,1,1,0
baseline,iteration_1,87,90,4,1,1,0
baseline,iteration_1,87,90,5,1,1,0
baseline,iteration_1,88,91,1,1,1,0
baseline,iteration_1,88,91,2,1,1,0
baseline,iteration_1,88,91,3,1,1,0
baseline,iteration_1,88,91,4,1,1,0
baseline,iteration_1,88,91,5,1,1,0
baseline,iteration_2,11,14,1,1,1,0
baseline,iteration_2,11,14,2,1,1,0
baseline,iteration_2,11,14,3,1,1,0
baseline,iteration_2,11,14,4,1,1,0
baseline,iteration_2,11,14,5,1,1,0
baseline,iteration_2,12,15,1,1,1,0
baseline,iteration_2,12,15,2,1,1,0
baseline,iteration_2,12,15,3,1,1,0
baseline,iteration_2,12,15,4,1,1,0
baseline,iteration_2,12,15,5,1,1,0
baseline,iteration_2,13,16,1,1,1,0
baseline,iteration_2,13,16,2,1,1,0
baseline,iteration_2,13,16,3,1,1,0
baseline,iteration_2,13,16,4,1,1,0
baseline,iteration_2,13,16,5,1,1,0
baseline,iteration_2,14,17,1,1,1,0
baseline,iteration_2,14,17,2,1,1,0
baseline,iteration_2,14,17,3,1,1,0
baseline,iteration_2,14,17,4,1,1,0
baseline,iteration_2,14,17,5,1,1,0
baseline,iteration_2,15,18,1,1,1,0
baseline,iteration_2,15,18,2,1,1,0
baseline,iteration_2,15,18,3,1,1,0
baseline,iteration_2,15,18,4,1,1,0
baseline,iteration_2,15,18,5,1,1,0
baseline,iteration_2,16,19,1,1,1,0
baseline,iteration_2,16,19,2,1,1,0
baseline,iteration_2,16,19,3,1,1,0
baseline,iteration_2,16,19,4,1,1,0
baseline,iteration_2,16,19,5,1,1,0
baseline,iteration_2,17,20,1,1,1,0
baseline,iteration_2,17,20,2,1,1,0
baseline,iteration_2,17,20,3,1,1,0
baseline,iteration_2,17,20,4,1,1,0
baseline,iteration_2,17,20,5,1,1,0
baseline,iteration_2,18,21,1,1,1,0
baseline,iteration_2,18,21,2,1,1,0
baseline,iteration_2,18,21,3,1,1,0
baseline,iteration_2,18,21,4,1,1,0
baseline,iteration_2,18,21,5,1,1,0
baseline,iteration_2,19,22,1,1,1,0
baseline,iteration_2,19,22,2,1,1,0
baseline,iteration_2,19,22,3,1,1,0
baseline,iteration_2,19,22,4,1,1,0
baseline,iteration_2,19,22,5,1,1,0
baseline,iteration_2,20,23,1,1,1,0
baseline,iteration_2,20,23,2,1,1,0
baseline,iteration_2,20,23,3,1,1,0
baseline,iteration_2,20,23,4,1,1,0
baseline,iteration_2,20,23,5,1,1,0
baseline,iteration_2,21,24,1,1,1,0
baseline,iteration_2,21,24,2,1,1,0
baseline,iteration_2,21,24,3,1,1,0
baseline,iteration_2,21,24,4,1,1,0
baseline,iteration_2,21,24,5,1,1,0
baseline,iteration_2,22,25,1,1,1,0
baseline,iteration_2,22,25,2,1,1,0
baseline,iteration_2,22,25,3,1,1,0
baseline,iteration_2,22,25,4,1,1,0
baseline,iteration_2,22,25,5,1,1,0
baseline,iteration_2,23,26,1,1,1,0
baseline,iteration_2,23,26,2,1,1,0
baseline,iteration_2,23,26,3,1,1,0
baseline,iteration_2,23,26,4,1,1,0
baseline,iteration_2,23,26,5,1,1,0
baseline,iteration_2,24,27,1,1,1,0
baseline,iteration_2,24,27,2,1,1,0
baseline,iteration_2,24,27,3,1,1,0
baseline,iteration_2,24,27,4,1,1,0
baseline,iteration_2,24,27,5,1,1,0
baseline,iteration_2,25,28,1,1,1,0
baseline,iteration_2,25,28,2,1,1,0
baseline,iteration_2,25,28,3,1,1,0
baseline,iteration_2,25,28,4,1,1,0
baseline,iteration_2,25,28,5,1,1,0
baseline,iteration_2,26,29,1,1,1,0
baseline,iteration_2,26,29,2,1,1,0
baseline,iteration_2,26,29,3,1,1,0
baseline,iteration_2,26,29,4,1,1,0
baseline,iteration_2,26,29,5,1,1,0
baseline,iteration_2,27,30,1,1,1,0
baseline,iteration_2,27,30,2,1,1,0
baseline,iteration_2,27,30,3,1,1,0
baseline,iteration_2,27,30,4,1,1,0
baseline,iteration_2,27,30,5,1,1,0
baseline,iteration_2,28,31,1,1,1,0
