cmd_id,origin_cycle,ts_received,ts_sent,breaker_DT
65,71,1780243333.678999,1780243333.681339,1:1;2:1;3:1;4:1;5:1
66,72,1780243334.691881,1780243334.695627,1:1;2:1;3:1;4:1;5:1
67,74,1780243335.693385,1780243335.697221,1:1;2:1;3:1;4:1;5:1
68,75,1780243336.707463,1780243336.712368,1:1;2:1;3:1;4:1;5:1
69,76,1780243337.715386,1780243337.720193,1:1;2:1;3:1;4:1;5:1
70,77,1780243338.720137,1780243338.725959,1:1;2:1;3:1;4:1;5:1
71,78,1780243339.723406,1780243339.730068,1:1;2:1;3:1;4:1;5:1
72,79,1780243340.723111,1780243340.728241,1:1;2:1;3:1;4:1;5:1
73,80,1780243341.733736,1780243341.739118,1:1;2:1;3:1;4:1;5:1
74,81,1780243342.751042,1780243342.759754,1:1;2:1;3:1;4:1;5:1
75,82,1780243343.752466,1780243343.760566,1:1;2:1;3:1;4:1;5:1
76,83,1780243344.761272,1780243344.770546,1:1;2:1;3:1;4:1;5:1
77,84,1780243345.777823,1780243345.779666,1:1;2:1;3:1;4:1;5:1
78,85,1780243346.868323,1780243346.871728,1:1;2:1;3:1;4:1;5:1
79,86,1780243348.019749,1780243348.024486,1:1;2:1;3:1;4:1;5:1
80,86,1780243349.021461,1780243349.034627,1:1;2:1;3:1;4:1;5:1
81,87,1780243350.023570,1780243350.027344,1:1;2:1;3:1;4:1;5:1
82,88,1780243351.029656,1780243351.032331,1:1;2:1;3:1;4:1;5:1
83,90,1780243352.720979,1780243352.723382,1:1;2:1;3:1;4:1;5:1
84,91,1780243353.731771,1780243353.740239,1:1;2:1;3:1;4:1;5:1
85,91,1780243354.731757,1780243354.742092,1:1;2:1;3:1;4:1;5:1
86,92,1780243355.765022,1780243355.766918,1:1;2:1;3:1;4:1;5:1
87,94,1780243356.771560,1780243356.779382,1:1;2:1;3:1;4:1;5:1
88,95,1780243357.774803,1780243357.780503,1:1;2:1;3:1;4:1;5:1
89,96,1780243358.777063,1780243358.782248,1:1;2:1;3:1;4:1;5:1
90,96,1780243359.780380,1780243359.793053,1:1;2:1;3:1;4:1;5:1
91,98,1780243360.864864,1780243360.870482,1:1;2:1;3:1;4:1;5:1
92,99,1780243361.866744,1780243361.874413,1:1;2:1;3:1;4:1;5:1
93,100,1780243362.869052,1780243362.877413,1:1;2:1;3:1;4:1;5:1
94,100,1780243363.870411,1780243363.877207,1:1;2:1;3:1;4:1;5:1
95,101,1780243364.871890,1780243364.875362,1:1;2:1;3:1;4:1;5:1
96,102,1780243365.873413,1780243365.878727,1:1;2:1;3:1;4:1;5:1
97,103,1780243366.874578,1780243366.879094,1:1;2:1;3:1;4:1;5:1
98,104,1780243367.875803,1780243367.877463,1:1;2:1;3:1;4:1;5:1
99,106,1780243368.876597,1780243368.885905,1:1;2:1;3:1;4:1;5:1
100,107,1780243369.878313,1780243369.888401,1:1;2:1;3:1;4:1;5:1
101,108,1780243370.879429,1780243370.887966,1:1;2:1;3:1;4:1;5:1
102,109,1780243371.880672,1780243371.890697,1:1;2:1;3:1;4:1;5:1
103,110,1780243372.883924,1780243372.886357,1:1;2:1;3:1;4:1;5:1
104,110,1780243373.906641,1780243373.915668,1:1;2:1;3:1;4:1;5:1
105,111,1780243374.907477,1780243374.910794,1:1;2:1;3:1;4:1;5:1
106,112,1780243375.908123,1780243375.911697,1:1;2:1;3:1;4:1;5:1
107,113,1780243376.918405,1780243376.924292,1:1;2:1;3:1;4:1;5:1
108,114,1780243377.922153,1780243377.924292,1:1;2:1;3:1;4:1;5:1
109,116,1780243378.936014,1780243378.940160,1:1;2:1;3:1;4:1;5:1
110,116,1780243379.952554,1780243379.954552,1:1;2:1;3:1;4:1;5:1
111,117,1780243380.963029,1780243380.964384,1:1;2:1;3:1;4:1;5:1
112,118,1780243381.977837,1780243381.979363,1:1;2:1;3:1;4:1;5:1
113,119,1780243382.979128,1780243382.985902,1:1;2:1;3:1;4:1;5:1
114,120,1780243383.981781,1780243383.984826,1:1;2:1;3:1;4:1;5:1
