Memulai Server OPC UA
Endpoints other than open requested but private key and certificate are not set.
Listening on 10.0.2.2:4840


Memulai Modbus Gateway di 0.0.0.0:5020[2026-05-19 14:30:54] [iter 1] [Bus 1] P/Q/CMD -> V_in=0.0000 pu, I_in=0.0000 A, PF=0.0000, V_out=0.0000 pu, I_out=0.0000 A, V_DT=1.0000 pu, P=0.0000 MW, Q=0.0000 MVar
[2026-05-19 14:31:23] [iter 8] [Bus 2] P/Q/CMD -> V_in=1.0070 pu, I_in=640.6667 A, PF=0.9005, V_out=1.0070 pu, I_out=640.6667 A, V_DT=1.0108 pu, P=110.6875 MW, Q=53.4516 MVar
[2026-05-19 14:31:23] [iter 8] [Bus 3] P/Q/CMD -> V_in=1.0040 pu, I_in=464.7333 A, PF=0.9428, V_out=1.0040 pu, I_out=464.7333 A, V_DT=1.0076 pu, P=83.8128 MW, Q=29.6349 MVar
[2026-05-19 14:31:23] [iter 8] [Bus 4] P/Q/CMD -> V_in=1.0130 pu, I_in=749.0667 A, PF=0.8274, V_out=1.0130 pu, I_out=749.0667 A, V_DT=1.0100 pu, P=119.6186 MW, Q=81.1933 MVar
[2026-05-19 14:31:23] [iter 8] [Bus 5] P/Q/CMD -> V_in=1.0030 pu, I_in=722.5333 A, PF=0.9562, V_out=1.0030 pu, I_out=722.5333 A, V_DT=1.0083 pu, P=132.0264 MW, Q=40.4162 MVar


[2026-05-19 14:31:27] [iter 9] [Bus 1] P/Q/CMD -> V_in=1.0240 pu, I_in=1341.5333 A, PF=0.9700, V_out=1.0240 pu, I_out=1341.5333 A, V_DT=1.0200 pu, P=253.8788 MW, Q=63.6280 MVar
[2026-05-19 14:31:27] [iter 9] [Bus 2] P/Q/CMD -> V_in=1.0030 pu, I_in=637.8000 A, PF=0.9005, V_out=1.0030 pu, I_out=637.8000 A, V_DT=1.0067 pu, P=109.7545 MW, Q=53.0010 MVar
[2026-05-19 14:31:27] [iter 9] [Bus 3] P/Q/CMD -> V_in=1.0080 pu, I_in=696.6000 A, PF=0.9428, V_out=1.0080 pu, I_out=696.6000 A, V_DT=1.0048 pu, P=126.1296 MW, Q=44.5974 MVar
[2026-05-19 14:31:27] [iter 9] [Bus 4] P/Q/CMD -> V_in=1.0060 pu, I_in=755.8000 A, PF=0.8274, V_out=1.0060 pu, I_out=755.8000 A, V_DT=1.0100 pu, P=119.8598 MW, Q=81.3571 MVar
