timestamp,waktu,iterasi_ke,run_id,bus,v_berfore,v_after,i_before,i_after,v_dt,breaker_cmd,breaker_fb
2026-05-09 22:54:23,18,3,no_attack,1,0.980000,0.980000,200.586207,200.586207,1.038039,1,1
2026-05-09 22:54:23,18,3,no_attack,2,1.037000,1.037000,842.965517,842.965517,1.039391,1,1
2026-05-09 22:54:23,18,3,no_attack,3,0.958000,0.958000,545.862069,545.862069,1.033259,1,1
2026-05-09 22:54:23,18,3,no_attack,4,0.956000,0.956000,765.689655,765.689655,1.028404,1,1
2026-05-09 22:54:23,18,3,no_attack,5,1.026000,1.026000,244.000000,244.000000,1.030317,1,1
2026-05-09 22:54:27,19,1,no_attack,1,0.997000,0.997000,573.344828,573.344828,1.040429,1,1
2026-05-09 22:54:27,19,1,no_attack,2,0.976000,0.976000,837.689655,837.689655,1.037784,1,1
2026-05-09 22:54:27,19,1,no_attack,3,0.992000,0.992000,316.517241,316.517241,1.033072,1,1
2026-05-09 22:54:27,19,1,no_attack,4,1.002000,1.002000,706.551724,706.551724,1.029195,1,1
2026-05-09 22:54:27,19,1,no_attack,5,0.970000,0.970000,402.344828,402.344828,1.031459,1,1
2026-05-09 22:54:31,20,1,no_attack,1,1.049000,1.049000,617.655172,617.655172,1.039159,1,1
2026-05-09 22:54:31,20,1,no_attack,2,0.993000,0.993000,550.724138,550.724138,1.037123,1,1
2026-05-09 22:54:31,20,1,no_attack,3,0.962000,0.962000,336.689655,336.689655,1.033633,1,1
2026-05-09 22:54:31,20,1,no_attack,4,0.983000,0.983000,611.172414,611.172414,1.029657,1,1
2026-05-09 22:54:31,20,1,no_attack,5,0.973000,0.973000,329.413793,329.413793,1.031990,1,1
2026-05-09 22:54:35,21,1,no_attack,1,0.957000,0.957000,662.344828,662.344828,1.037931,1,1
2026-05-09 22:54:35,21,1,no_attack,2,0.972000,0.972000,866.655172,866.655172,1.038459,1,1
2026-05-09 22:54:35,21,1,no_attack,3,1.035000,1.035000,199.413793,199.413793,1.035085,1,1
2026-05-09 22:54:35,21,1,no_attack,4,0.973000,0.973000,680.655172,680.655172,1.031263,1,1
2026-05-09 22:54:35,21,1,no_attack,5,0.971000,0.971000,260.931034,260.931034,1.033576,1,1
2026-05-09 22:54:39,22,1,no_attack,1,0.957000,0.957000,662.344828,662.344828,1.037101,1,1
2026-05-09 22:54:39,22,1,no_attack,2,0.972000,0.972000,866.655172,866.655172,1.037780,1,1
2026-05-09 22:54:39,22,1,no_attack,3,1.035000,1.035000,199.413793,199.413793,1.035741,1,1
2026-05-09 22:54:39,22,1,no_attack,4,0.973000,0.973000,501.551724,501.551724,1.032120,1,1
2026-05-09 22:54:39,22,1,no_attack,5,0.992000,0.992000,512.689655,512.689655,1.034528,1,1
2026-05-09 22:54:43,23,1,no_attack,1,1.043000,1.043000,563.586207,563.586207,1.036541,1,1
2026-05-09 22:54:43,23,1,no_attack,2,0.997000,0.997000,753.068966,753.068966,1.037312,1,1
2026-05-09 22:54:43,23,1,no_attack,3,1.030000,1.030000,288.896552,288.896552,1.036127,1,1
2026-05-09 22:54:43,23,1,no_attack,4,0.959000,0.959000,501.551724,501.551724,1.032801,1,1
2026-05-09 22:54:43,23,1,no_attack,5,0.992000,0.992000,512.689655,512.689655,1.034879,1,1
2026-05-09 22:54:47,24,2,no_attack,1,1.022000,1.022000,651.241379,651.241379,1.036571,1,1
2026-05-09 22:54:47,24,2,no_attack,2,1.048000,1.048000,217.103448,217.103448,1.037429,1,1
2026-05-09 22:54:47,24,2,no_attack,3,0.990000,0.990000,415.379310,415.379310,1.036271,1,1
2026-05-09 22:54:47,24,2,no_attack,4,1.036000,1.036000,330.275862,330.275862,1.033214,1,1
2026-05-09 22:54:47,24,2,no_attack,5,0.969000,0.969000,510.551724,510.551724,1.035078,1,1
2026-05-09 22:54:51,25,2,no_attack,1,0.992000,0.992000,367.896552,367.896552,1.036263,1,1
2026-05-09 22:54:51,25,2,no_attack,2,0.974000,0.974000,878.758621,878.758621,1.040519,1,1
2026-05-09 22:54:51,25,2,no_attack,3,0.994000,0.994000,814.172414,814.172414,1.037534,1,1
2026-05-09 22:54:51,25,2,no_attack,4,1.004000,1.004000,190.172414,190.172414,1.034662,1,1
2026-05-09 22:54:51,25,2,no_attack,5,1.049000,1.049000,752.655172,752.655172,1.036262,1,1
2026-05-09 22:54:55,26,2,no_attack,1,1.046000,1.046000,820.655172,820.655172,1.038016,1,1
2026-05-09 22:54:55,26,2,no_attack,2,1.034000,1.034000,269.965517,269.965517,1.038272,1,1
2026-05-09 22:54:55,26,2,no_attack,3,0.998000,0.998000,316.034483,316.034483,1.035320,1,1
2026-05-09 22:54:55,26,2,no_attack,4,0.990000,0.990000,199.241379,199.241379,1.034498,1,1
2026-05-09 22:54:55,26,2,no_attack,5,0.987000,0.987000,915.172414,915.172414,1.035507,1,1
2026-05-09 22:54:59,27,2,no_attack,1,0.976000,0.976000,768.655172,768.655172,1.035619,1,1
2026-05-09 22:54:59,27,2,no_attack,2,0.995000,0.995000,477.344828,477.344828,1.040601,1,1
2026-05-09 22:54:59,27,2,no_attack,3,1.045000,1.045000,871.931034,871.931034,1.036726,1,1
2026-05-09 22:54:59,27,2,no_attack,4,1.004000,1.004000,696.620690,696.620690,1.034897,1,1
2026-05-09 22:54:59,27,2,no_attack,5,0.965000,0.965000,392.413793,392.413793,1.035446,1,1
2026-05-09 22:55:03,28,2,no_attack,1,0.976000,0.976000,768.655172,768.655172,1.034703,1,1
2026-05-09 22:55:03,28,2,no_attack,2,0.995000,0.995000,477.344828,477.344828,1.039789,1,1
2026-05-09 22:55:03,28,2,no_attack,3,1.045000,1.045000,871.931034,871.931034,1.034553,1,1
2026-05-09 22:55:03,28,2,no_attack,4,1.004000,1.004000,696.620690,696.620690,1.032879,1,1
2026-05-09 22:55:03,28,2,no_attack,5,0.965000,0.965000,392.413793,392.413793,1.034076,1,1
2026-05-09 22:55:07,29,3,no_attack,1,1.046000,1.046000,567.724138,567.724138,1.034098,1,1
2026-05-09 22:55:07,29,3,no_attack,2,1.004000,1.004000,720.034483,720.034483,1.039220,1,1
2026-05-09 22:55:07,29,3,no_attack,3,0.955000,0.955000,625.862069,625.862069,1.033053,1,1
2026-05-09 22:55:07,29,3,no_attack,4,1.000000,1.000000,802.758621,802.758621,1.031458,1,1
2026-05-09 22:55:07,29,3,no_attack,5,0.965000,0.965000,916.793103,916.793103,1.033082,1,1
2026-05-09 22:55:11,30,3,no_attack,1,0.958000,0.958000,307.172414,307.172414,1.034674,1,1
2026-05-09 22:55:11,30,3,no_attack,2,1.008000,1.008000,661.275862,661.275862,1.037283,1,1
2026-05-09 22:55:11,30,3,no_attack,3,0.973000,0.973000,250.620690,250.620690,1.031070,1,1
2026-05-09 22:55:11,30,3,no_attack,4,1.039000,1.039000,327.551724,327.551724,1.027441,1,1
2026-05-09 22:55:11,30,3,no_attack,5,1.008000,1.008000,619.137931,619.137931,1.029104,1,1
2026-05-09 22:55:15,31,3,no_attack,1,0.991000,0.991000,602.620690,602.620690,1.037725,1,1
2026-05-09 22:55:15,31,3,no_attack,2,1.002000,1.002000,863.551724,863.551724,1.038357,1,1
2026-05-09 22:55:15,31,3,no_attack,3,0.970000,0.970000,720.137931,720.137931,1.033759,1,1
2026-05-09 22:55:15,31,3,no_attack,4,0.973000,0.973000,466.620690,466.620690,1.030571,1,1
2026-05-09 22:55:15,31,3,no_attack,5,1.016000,1.016000,374.931034,374.931034,1.031943,1,1
2026-05-09 22:55:19,32,3,no_attack,1,0.981000,0.981000,739.655172,739.655172,1.037199,1,1
2026-05-09 22:55:19,32,3,no_attack,2,0.957000,0.957000,524.517241,524.517241,1.036873,1,1
2026-05-09 22:55:19,32,3,no_attack,3,1.049000,1.049000,869.034483,869.034483,1.033270,1,1
2026-05-09 22:55:19,32,3,no_attack,4,0.957000,0.957000,329.172414,329.172414,1.031857,1,1
2026-05-09 22:55:19,32,3,no_attack,5,0.976000,0.976000,885.206897,885.206897,1.033309,1,1
2026-05-09 22:55:23,33,3,no_attack,1,0.981000,0.981000,739.655172,739.655172,1.035904,1,1
2026-05-09 22:55:23,33,3,no_attack,2,0.957000,0.957000,524.517241,524.517241,1.037222,1,1
2026-05-09 22:55:23,33,3,no_attack,3,1.049000,1.049000,869.034483,869.034483,1.032223,1,1
2026-05-09 22:55:23,33,3,no_attack,4,0.957000,0.957000,329.172414,329.172414,1.031338,1,1
2026-05-09 22:55:23,33,3,no_attack,5,0.976000,0.976000,885.206897,885.206897,1.032324,1,1
2026-05-09 22:55:27,34,1,no_attack,1,1.038000,1.038000,793.034483,793.034483,1.035048,1,1
2026-05-09 22:55:27,34,1,no_attack,2,0.986000,0.986000,276.482759,276.482759,1.037427,1,1
2026-05-09 22:55:27,34,1,no_attack,3,1.033000,1.033000,666.931034,666.931034,1.031507,1,1
2026-05-09 22:55:27,34,1,no_attack,4,1.010000,1.010000,895.586207,895.586207,1.030956,1,1
2026-05-09 22:55:27,34,1,no_attack,5,1.014000,1.014000,156.103448,156.103448,1.031640,1,1
2026-05-09 22:55:31,35,1,no_attack,1,1.031000,1.031000,369.172414,369.172414,1.033868,1,1
2026-05-09 22:55:31,35,1,no_attack,2,1.016000,1.016000,854.758621,854.758621,1.039192,1,1
2026-05-09 22:55:31,35,1,no_attack,3,0.963000,0.963000,249.724138,249.724138,1.032344,1,1
2026-05-09 22:55:31,35,1,no_attack,4,0.960000,0.960000,598.034483,598.034483,1.030289,1,1
2026-05-09 22:55:31,35,1,no_attack,5,0.977000,0.977000,628.172414,628.172414,1.031989,1,1
