comparison (-),iteration (-),origin_cycle (-),bus (-),baseline_cmd_id (-),mitm_cmd_id (-),baseline_breaker_DT (-),mitm_breaker_DT (-),false_control_action (-),control_error_type (-)
mitm_vs_baseline,iteration_1,42,3,39,38,1,1,0,correct
mitm_vs_baseline,iteration_1,42,4,39,38,1,1,0,correct
mitm_vs_baseline,iteration_1,42,5,39,38,1,1,0,correct
mitm_vs_baseline,iteration_1,43,1,40,39,1,1,0,correct
mitm_vs_baseline,iteration_1,43,2,40,39,1,1,0,correct
mitm_vs_baseline,iteration_1,43,3,40,39,1,1,0,correct
mitm_vs_baseline,iteration_1,43,4,40,39,1,0,1,false_open
mitm_vs_baseline,iteration_1,43,5,40,39,1,1,0,correct
mitm_vs_baseline,iteration_1,44,1,41,40,1,0,1,false_open
mitm_vs_baseline,iteration_1,44,2,41,40,1,0,1,false_open
mitm_vs_baseline,iteration_1,44,3,41,40,1,0,1,false_open
mitm_vs_baseline,iteration_1,44,4,41,40,1,1,0,correct
mitm_vs_baseline,iteration_1,44,5,41,40,1,1,0,correct
mitm_vs_baseline,iteration_1,45,1,42,41,1,1,0,correct
mitm_vs_baseline,iteration_1,45,2,42,41,1,1,0,correct
mitm_vs_baseline,iteration_1,45,3,42,41,1,1,0,correct
mitm_vs_baseline,iteration_1,45,4,42,41,1,1,0,correct
mitm_vs_baseline,iteration_1,45,5,42,41,1,1,0,correct
mitm_vs_baseline,iteration_1,46,1,43,42,1,1,0,correct
mitm_vs_baseline,iteration_1,46,2,43,42,1,0,1,false_open
mitm_vs_baseline,iteration_1,46,3,43,42,1,0,1,false_open
mitm_vs_baseline,iteration_1,46,4,43,42,1,1,0,correct
mitm_vs_baseline,iteration_1,46,5,43,42,1,1,0,correct
mitm_vs_baseline,iteration_1,47,1,44,43,1,0,1,false_open
mitm_vs_baseline,iteration_1,47,2,44,43,1,0,1,false_open
mitm_vs_baseline,iteration_1,47,3,44,43,1,0,1,false_open
mitm_vs_baseline,iteration_1,47,4,44,43,1,1,0,correct
mitm_vs_baseline,iteration_1,47,5,44,43,1,1,0,correct
mitm_vs_baseline,iteration_1,48,1,45,44,1,1,0,correct
mitm_vs_baseline,iteration_1,48,2,45,44,1,1,0,correct
mitm_vs_baseline,iteration_1,48,3,45,44,1,0,1,false_open
mitm_vs_baseline,iteration_1,48,4,45,44,1,1,0,correct
mitm_vs_baseline,iteration_1,48,5,45,44,1,1,0,correct
mitm_vs_baseline,iteration_1,49,1,46,45,1,1,0,correct
mitm_vs_baseline,iteration_1,49,2,46,45,1,0,1,false_open
mitm_vs_baseline,iteration_1,49,3,46,45,1,0,1,false_open
mitm_vs_baseline,iteration_1,49,4,46,45,1,1,0,correct
mitm_vs_baseline,iteration_1,49,5,46,45,1,1,0,correct
mitm_vs_baseline,iteration_1,50,1,47,46,1,1,0,correct
mitm_vs_baseline,iteration_1,50,2,47,46,1,1,0,correct
mitm_vs_baseline,iteration_1,50,3,47,46,1,1,0,correct
mitm_vs_baseline,iteration_1,50,4,47,46,1,1,0,correct
mitm_vs_baseline,iteration_1,50,5,47,46,1,1,0,correct
mitm_vs_baseline,iteration_1,51,1,48,47,1,1,0,correct
mitm_vs_baseline,iteration_1,51,2,48,47,1,1,0,correct
mitm_vs_baseline,iteration_1,51,3,48,47,1,0,1,false_open
mitm_vs_baseline,iteration_1,51,4,48,47,1,1,0,correct
mitm_vs_baseline,iteration_1,51,5,48,47,1,1,0,correct
mitm_vs_baseline,iteration_1,52,1,49,48,1,0,1,false_open
mitm_vs_baseline,iteration_1,52,2,49,48,1,0,1,false_open
mitm_vs_baseline,iteration_1,52,3,49,48,1,0,1,false_open
mitm_vs_baseline,iteration_1,52,4,49,48,1,0,1,false_open
mitm_vs_baseline,iteration_1,52,5,49,48,1,1,0,correct
mitm_vs_baseline,iteration_1,53,1,50,49,1,1,0,correct
mitm_vs_baseline,iteration_1,53,2,50,49,1,0,1,false_open
mitm_vs_baseline,iteration_1,53,3,50,49,1,1,0,correct
mitm_vs_baseline,iteration_1,53,4,50,49,1,1,0,correct
mitm_vs_baseline,iteration_1,53,5,50,49,1,1,0,correct
mitm_vs_baseline,iteration_1,54,1,51,50,1,1,0,correct
mitm_vs_baseline,iteration_1,54,2,51,50,1,0,1,false_open
mitm_vs_baseline,iteration_1,54,3,51,50,1,0,1,false_open
mitm_vs_baseline,iteration_1,54,4,51,50,1,0,1,false_open
mitm_vs_baseline,iteration_1,54,5,51,50,1,1,0,correct
mitm_vs_baseline,iteration_1,55,1,52,51,1,1,0,correct
mitm_vs_baseline,iteration_1,55,2,52,51,1,1,0,correct
mitm_vs_baseline,iteration_1,55,3,52,51,1,1,0,correct
mitm_vs_baseline,iteration_1,55,4,52,51,1,1,0,correct
mitm_vs_baseline,iteration_1,55,5,52,51,1,1,0,correct
mitm_vs_baseline,iteration_1,56,1,53,52,1,1,0,correct
mitm_vs_baseline,iteration_1,56,2,53,52,1,1,0,correct
mitm_vs_baseline,iteration_1,56,3,53,52,1,0,1,false_open
mitm_vs_baseline,iteration_1,56,4,53,52,1,0,1,false_open
mitm_vs_baseline,iteration_1,56,5,53,52,1,1,0,correct
mitm_vs_baseline,iteration_1,57,1,54,53,1,0,1,false_open
mitm_vs_baseline,iteration_1,57,2,54,53,1,0,1,false_open
mitm_vs_baseline,iteration_1,57,3,54,53,1,0,1,false_open
mitm_vs_baseline,iteration_1,57,4,54,53,1,1,0,correct
mitm_vs_baseline,iteration_1,57,5,54,53,1,1,0,correct
mitm_vs_baseline,iteration_1,58,1,55,54,1,1,0,correct
mitm_vs_baseline,iteration_1,58,2,55,54,1,0,1,false_open
mitm_vs_baseline,iteration_1,58,3,55,54,1,0,1,false_open
mitm_vs_baseline,iteration_1,58,4,55,54,1,1,0,correct
