cycle_id,ts_received,ts_sent,bus,V_received,I_received,P_sent,Q_sent,breaker_actual
24,1780259516.372551,1780259516.372693,2,1.015000,404.733333,76.374634,17.114630,1
24,1780259516.373005,1780259516.373178,3,1.009000,350.500000,62.239120,25.814484,1
24,1780259516.373442,1780259516.373555,4,1.012000,447.233333,80.583717,30.695379,1
24,1780259516.373882,1780259516.374006,5,1.004000,457.700000,85.836350,17.249338,1
25,1780259517.373384,1780259517.373526,1,1.022000,827.666667,156.438882,38.726098,1
25,1780259517.374271,1780259517.374417,2,1.004000,418.700000,72.907890,33.154081,1
25,1780259517.374784,1780259517.374948,3,1.008000,414.833333,74.052016,29.383562,1
25,1780259517.375369,1780259517.375519,4,1.011000,471.700000,80.183509,42.732349,1
25,1780259517.375849,1780259517.375976,5,1.011000,462.100000,87.666279,15.409843,1
26,1780259518.375017,1780259518.375145,1,1.023000,781.633333,147.928294,36.422884,1
26,1780259518.375669,1780259518.375846,2,1.015000,354.800000,62.910761,27.384399,1
26,1780259518.376448,1780259518.376628,3,1.006000,420.533333,76.226347,26.199293,1
26,1780259518.376944,1780259518.377074,4,1.010000,476.400000,80.031450,44.711289,1
26,1780259518.378422,1780259518.378559,5,1.011000,470.800000,87.285411,24.601489,1
27,1780259519.375697,1780259519.375836,1,1.013000,844.366667,159.346992,34.147704,1
27,1780259519.376353,1780259519.376492,2,1.004000,437.000000,79.580270,25.587567,1
27,1780259519.376806,1780259519.377068,3,1.009000,409.800000,72.997625,29.625128,1
27,1780259519.377409,1780259519.377536,4,1.009000,490.666667,80.120434,49.780465,1
27,1780259519.378063,1780259519.378205,5,1.007000,470.533333,86.574857,25.584818,1
28,1780259520.376640,1780259520.376745,1,1.019000,717.200000,133.922192,38.117712,1
28,1780259520.377176,1780259520.377276,2,1.015000,332.100000,60.825273,20.611528,1
28,1780259520.377513,1780259520.377613,3,1.006000,388.033333,66.921600,32.449509,1
28,1780259520.377804,1780259520.377894,4,1.004000,455.733333,79.243145,36.334692,1
28,1780259520.378135,1780259520.378234,5,1.001000,459.533333,85.466930,19.397055,1
29,1780259521.378227,1780259521.378323,1,1.016000,797.266667,150.718772,33.190818,1
29,1780259521.378716,1780259521.378814,2,1.010000,303.633333,56.815794,13.632521,1
29,1780259521.378982,1780259521.379069,3,1.006000,504.066667,85.638494,44.724483,1
29,1780259521.379279,1780259521.379376,4,1.015000,483.233333,80.403812,47.623588,1
29,1780259521.379625,1780259521.379843,5,1.008000,467.666667,87.731572,19.234266,1
30,1780259522.378496,1780259522.378645,1,1.019000,818.466667,155.056261,34.746228,1
30,1780259522.379289,1780259522.379430,2,1.008000,323.500000,56.573855,25.676852,1
30,1780259522.380767,1780259522.380906,3,1.004000,491.166667,87.508884,34.199053,1
30,1780259522.381204,1780259522.381342,4,1.013000,480.800000,80.435195,46.273061,1
30,1780259522.381646,1780259522.381987,5,1.007000,477.600000,89.927631,17.590965,1
31,1780259523.400194,1780259523.400352,1,1.020000,784.600000,147.230927,39.648666,1
31,1780259523.400651,1780259523.400761,2,1.005000,420.366667,73.665418,32.437893,1
31,1780259523.401115,1780259523.401220,3,1.011000,355.333333,62.887076,27.016761,1
31,1780259523.402361,1780259523.402516,4,1.007000,477.700000,79.571548,45.478634,1
31,1780259523.402692,1780259523.402778,5,1.002000,479.933333,88.754677,22.743845,1
32,1780259524.402688,1780259524.402814,1,1.016000,902.766667,171.431862,33.903269,1
32,1780259524.404123,1780259524.404284,2,1.002000,392.100000,71.403701,22.465677,1
32,1780259524.404939,1780259524.405054,3,1.006000,521.566667,88.861579,45.795482,1
32,1780259524.405816,1780259524.405916,4,1.012000,529.833333,80.092005,63.415789,1
32,1780259524.406074,1780259524.406162,5,1.000000,480.266667,88.172377,24.463183,1
33,1780259525.404270,1780259525.404371,1,1.020000,806.733333,151.901633,38.794978,1
33,1780259525.405981,1780259525.406124,2,1.012000,429.533333,76.185324,32.477774,1
33,1780259525.408356,1780259525.408475,3,1.010000,371.933333,65.874358,27.982865,1
33,1780259525.408700,1780259525.408790,4,1.014000,491.533333,80.479255,50.404741,1
33,1780259525.408945,1780259525.409030,5,1.008000,480.733333,88.733305,25.500151,1
34,1780259526.407367,1780259526.407570,1,1.022000,749.066667,143.070276,28.370869,1
34,1780259526.408142,1780259526.408304,2,1.011000,305.600000,57.328712,13.361052,1
34,1780259526.408565,1780259526.408684,3,1.015000,395.233333,73.183252,22.045415,1
34,1780259526.410214,1780259526.410358,4,1.011000,466.466667,80.704571,39.497532,1
34,1780259526.410561,1780259526.410662,5,1.004000,496.666667,90.445921,29.081216,1
35,1780259527.407879,1780259527.408072,1,1.025000,955.833333,185.151502,23.710222,1
