Connection to (10.0.2.2, 5020) failed: [Errno 111] Connection refused
Connection to GATEWAY (10.0.2.2:5020) failed (connect() returned False). Retrying in 1.0s...


[2026-05-08 00:19:23] Bus 1: V=1.013 pu, I=169.241 A, Breaker=CLOSE
[2026-05-08 00:19:40] Bus 5: V=1.036 pu, I=572.241 A, Breaker=CLOSE


[2026-05-08 00:19:44] Bus 1: V=1.020 pu, I=183.724 A, Breaker=CLOSE
[2026-05-08 00:19:44] Bus 2: V=0.972 pu, I=383.724 A, Breaker=CLOSE
[2026-05-08 00:19:44] Bus 3: V=0.957 pu, I=344.586 A, Breaker=CLOSE
[2026-05-08 00:19:44] Bus 4: V=0.960 pu, I=379.724 A, Breaker=CLOSE
[2026-05-08 00:19:44] Bus 5: V=1.013 pu, I=425.069 A, Breaker=CLOSE


[2026-05-08 00:19:48] Bus 1: V=0.987 pu, I=316.448 A, Breaker=CLOSE
[2026-05-08 00:19:48] Bus 2: V=0.976 pu, I=887.690 A, Breaker=CLOSE
[2026-05-08 00:19:48] Bus 3: V=1.014 pu, I=608.172 A, Breaker=CLOSE
[2026-05-08 00:19:48] Bus 4: V=0.967 pu, I=732.793 A, Breaker=CLOSE
[2026-05-08 00:19:48] Bus 5: V=0.966 pu, I=457.379 A, Breaker=CLOSE


[2026-05-08 00:19:52] Bus 1: V=1.048 pu, I=610.828 A, Breaker=CLOSE
[2026-05-08 00:19:52] Bus 2: V=1.005 pu, I=670.931 A, Breaker=CLOSE
[2026-05-08 00:19:52] Bus 3: V=1.034 pu, I=719.759 A, Breaker=CLOSE
[2026-05-08 00:19:52] Bus 4: V=0.972 pu, I=181.966 A, Breaker=CLOSE
[2026-05-08 00:19:52] Bus 5: V=0.981 pu, I=363.483 A, Breaker=CLOSE


[2026-05-08 00:19:56] Bus 1: V=1.048 pu, I=610.828 A, Breaker=CLOSE
[2026-05-08 00:19:56] Bus 2: V=1.005 pu, I=670.931 A, Breaker=CLOSE
[2026-05-08 00:19:56] Bus 3: V=1.034 pu, I=719.759 A, Breaker=CLOSE
[2026-05-08 00:19:56] Bus 4: V=0.972 pu, I=181.966 A, Breaker=CLOSE
[2026-05-08 00:19:56] Bus 5: V=0.981 pu, I=363.483 A, Breaker=CLOSE


[2026-05-08 00:20:00] Bus 1: V=0.971 pu, I=897.724 A, Breaker=CLOSE
[2026-05-08 00:20:00] Bus 2: V=1.037 pu, I=378.310 A, Breaker=CLOSE
[2026-05-08 00:20:00] Bus 3: V=1.015 pu, I=447.379 A, Breaker=CLOSE
[2026-05-08 00:20:00] Bus 4: V=1.041 pu, I=482.552 A, Breaker=CLOSE
[2026-05-08 00:20:00] Bus 5: V=0.976 pu, I=348.862 A, Breaker=CLOSE


[2026-05-08 00:20:04] Bus 1: V=1.006 pu, I=350.793 A, Breaker=CLOSE
[2026-05-08 00:20:04] Bus 2: V=1.008 pu, I=830.345 A, Breaker=CLOSE
[2026-05-08 00:20:04] Bus 3: V=0.989 pu, I=323.069 A, Breaker=CLOSE
[2026-05-08 00:20:04] Bus 4: V=1.049 pu, I=515.552 A, Breaker=CLOSE
[2026-05-08 00:20:04] Bus 5: V=0.959 pu, I=196.517 A, Breaker=CLOSE


[2026-05-08 00:20:08] Bus 1: V=0.960 pu, I=656.793 A, Breaker=CLOSE
[2026-05-08 00:20:08] Bus 2: V=1.029 pu, I=461.069 A, Breaker=CLOSE
[2026-05-08 00:20:08] Bus 3: V=0.956 pu, I=463.862 A, Breaker=CLOSE
[2026-05-08 00:20:08] Bus 4: V=0.961 pu, I=503.724 A, Breaker=CLOSE
[2026-05-08 00:20:08] Bus 5: V=0.995 pu, I=884.172 A, Breaker=CLOSE


[2026-05-08 00:20:16] Bus 1: V=0.951 pu, I=738.345 A, Breaker=CLOSE
[2026-05-08 00:20:16] Bus 2: V=1.018 pu, I=552.103 A, Breaker=CLOSE
[2026-05-08 00:20:16] Bus 3: V=0.976 pu, I=656.759 A, Breaker=CLOSE
[2026-05-08 00:20:16] Bus 4: V=0.961 pu, I=503.724 A, Breaker=CLOSE
[2026-05-08 00:20:16] Bus 5: V=0.995 pu, I=884.172 A, Breaker=CLOSE


[2026-05-08 00:20:20] Bus 1: V=1.037 pu, I=340.655 A, Breaker=CLOSE
[2026-05-08 00:20:20] Bus 2: V=1.000 pu, I=288.793 A, Breaker=CLOSE
[2026-05-08 00:20:20] Bus 3: V=1.041 pu, I=784.207 A, Breaker=CLOSE
[2026-05-08 00:20:20] Bus 4: V=0.979 pu, I=653.069 A, Breaker=CLOSE
[2026-05-08 00:20:20] Bus 5: V=1.010 pu, I=266.207 A, Breaker=CLOSE


[2026-05-08 00:20:24] Bus 1: V=1.026 pu, I=549.552 A, Breaker=CLOSE
[2026-05-08 00:20:24] Bus 2: V=1.027 pu, I=541.966 A, Breaker=CLOSE
[2026-05-08 00:20:24] Bus 3: V=0.950 pu, I=420.828 A, Breaker=CLOSE
[2026-05-08 00:20:24] Bus 4: V=0.951 pu, I=904.690 A, Breaker=CLOSE
[2026-05-08 00:20:24] Bus 5: V=1.037 pu, I=758.207 A, Breaker=CLOSE


[2026-05-08 00:20:28] Bus 1: V=0.980 pu, I=200.586 A, Breaker=CLOSE
[2026-05-08 00:20:28] Bus 2: V=1.037 pu, I=842.966 A, Breaker=CLOSE
[2026-05-08 00:20:28] Bus 3: V=0.958 pu, I=545.862 A, Breaker=CLOSE
[2026-05-08 00:20:28] Bus 4: V=0.956 pu, I=765.690 A, Breaker=CLOSE
[2026-05-08 00:20:28] Bus 5: V=1.026 pu, I=244.000 A, Breaker=CLOSE


[2026-05-08 00:20:33] Bus 1: V=0.997 pu, I=573.345 A, Breaker=CLOSE
[2026-05-08 00:20:33] Bus 2: V=0.976 pu, I=837.690 A, Breaker=CLOSE
[2026-05-08 00:20:33] Bus 3: V=0.992 pu, I=316.517 A, Breaker=CLOSE
[2026-05-08 00:20:33] Bus 4: V=1.003 pu, I=706.552 A, Breaker=CLOSE
[2026-05-08 00:20:33] Bus 5: V=0.970 pu, I=402.345 A, Breaker=CLOSE


[2026-05-08 00:20:37] Bus 1: V=1.049 pu, I=617.655 A, Breaker=CLOSE
[2026-05-08 00:20:37] Bus 2: V=0.993 pu, I=550.759 A, Breaker=CLOSE
[2026-05-08 00:20:37] Bus 3: V=0.962 pu, I=336.690 A, Breaker=CLOSE
[2026-05-08 00:20:37] Bus 4: V=0.983 pu, I=611.172 A, Breaker=CLOSE
[2026-05-08 00:20:37] Bus 5: V=0.973 pu, I=329.414 A, Breaker=CLOSE


[2026-05-08 00:20:42] Bus 1: V=0.957 pu, I=662.345 A, Breaker=CLOSE
[2026-05-08 00:20:42] Bus 2: V=0.972 pu, I=866.655 A, Breaker=CLOSE
[2026-05-08 00:20:42] Bus 3: V=1.035 pu, I=199.414 A, Breaker=CLOSE
[2026-05-08 00:20:42] Bus 4: V=0.973 pu, I=680.655 A, Breaker=CLOSE
[2026-05-08 00:20:42] Bus 5: V=0.971 pu, I=260.931 A, Breaker=CLOSE


[2026-05-08 00:20:47] Bus 1: V=1.043 pu, I=563.586 A, Breaker=CLOSE
[2026-05-08 00:20:47] Bus 2: V=0.997 pu, I=753.069 A, Breaker=CLOSE
[2026-05-08 00:20:47] Bus 3: V=1.030 pu, I=288.897 A, Breaker=CLOSE
[2026-05-08 00:20:47] Bus 4: V=0.959 pu, I=501.552 A, Breaker=CLOSE
[2026-05-08 00:20:47] Bus 5: V=0.992 pu, I=512.690 A, Breaker=CLOSE


[2026-05-08 00:20:51] Bus 1: V=1.043 pu, I=563.586 A, Breaker=CLOSE
[2026-05-08 00:20:51] Bus 2: V=0.997 pu, I=753.069 A, Breaker=CLOSE
[2026-05-08 00:20:51] Bus 3: V=0.990 pu, I=415.379 A, Breaker=CLOSE
[2026-05-08 00:20:51] Bus 4: V=1.036 pu, I=330.276 A, Breaker=CLOSE
[2026-05-08 00:20:51] Bus 5: V=0.969 pu, I=510.552 A, Breaker=CLOSE


[2026-05-08 00:20:56] Bus 1: V=1.022 pu, I=651.241 A, Breaker=CLOSE
[2026-05-08 00:20:56] Bus 2: V=1.048 pu, I=217.103 A, Breaker=CLOSE
[2026-05-08 00:20:56] Bus 3: V=0.990 pu, I=415.379 A, Breaker=CLOSE
[2026-05-08 00:20:56] Bus 4: V=1.036 pu, I=330.276 A, Breaker=CLOSE
[2026-05-08 00:20:56] Bus 5: V=0.969 pu, I=510.552 A, Breaker=CLOSE


[2026-05-08 00:21:00] Bus 1: V=0.992 pu, I=367.897 A, Breaker=CLOSE
[2026-05-08 00:21:00] Bus 2: V=0.974 pu, I=878.759 A, Breaker=CLOSE
[2026-05-08 00:21:00] Bus 3: V=0.994 pu, I=814.172 A, Breaker=CLOSE
[2026-05-08 00:21:00] Bus 4: V=1.005 pu, I=190.172 A, Breaker=CLOSE
[2026-05-08 00:21:00] Bus 5: V=1.049 pu, I=752.655 A, Breaker=CLOSE


[2026-05-08 00:21:05] Bus 1: V=1.046 pu, I=820.655 A, Breaker=CLOSE
[2026-05-08 00:21:05] Bus 2: V=1.034 pu, I=269.966 A, Breaker=CLOSE
[2026-05-08 00:21:05] Bus 3: V=1.045 pu, I=871.931 A, Breaker=CLOSE
[2026-05-08 00:21:05] Bus 4: V=1.005 pu, I=696.621 A, Breaker=CLOSE
[2026-05-08 00:21:05] Bus 5: V=0.965 pu, I=392.414 A, Breaker=CLOSE


[2026-05-08 00:21:15] Bus 1: V=1.046 pu, I=567.724 A, Breaker=CLOSE
[2026-05-08 00:21:15] Bus 2: V=1.004 pu, I=720.034 A, Breaker=CLOSE
[2026-05-08 00:21:15] Bus 3: V=0.973 pu, I=250.621 A, Breaker=CLOSE
[2026-05-08 00:21:15] Bus 4: V=1.039 pu, I=327.552 A, Breaker=CLOSE
[2026-05-08 00:21:15] Bus 5: V=1.009 pu, I=619.138 A, Breaker=CLOSE


[2026-05-08 00:21:26] Bus 1: V=0.991 pu, I=602.621 A, Breaker=CLOSE
[2026-05-08 00:21:26] Bus 2: V=0.957 pu, I=524.517 A, Breaker=CLOSE
[2026-05-08 00:21:26] Bus 3: V=1.049 pu, I=869.034 A, Breaker=CLOSE
[2026-05-08 00:21:26] Bus 4: V=0.957 pu, I=329.172 A, Breaker=CLOSE
[2026-05-08 00:21:26] Bus 5: V=0.976 pu, I=885.207 A, Breaker=CLOSE
