[modbus-proxy] listen 0.0.0.0:50201 -> 10.0.2.2:5020 I regs 10..14 fixed_seed=424242
[modbus-proxy] FC06 I mangle bus=2 addr=11 477.345A -> 2144.138A
[modbus-proxy] FC06 I mangle bus=3 addr=12 871.931A -> 2072.103A
[modbus-proxy] FC06 I mangle bus=4 addr=13 696.621A -> 1866.379A
[modbus-proxy] FC06 I mangle bus=5 addr=14 392.414A -> 1854.862A
[modbus-proxy] FC06 I mangle bus=1 addr=10 567.724A -> 2068.069A
[modbus-proxy] FC06 I mangle bus=2 addr=11 720.034A -> 2132.483A
[modbus-proxy] FC06 I mangle bus=3 addr=12 625.862A -> 1819.621A
[modbus-proxy] FC06 I mangle bus=4 addr=13 802.759A -> 2086.966A
[modbus-proxy] FC06 I mangle bus=5 addr=14 916.793A -> 2197.586A
[modbus-proxy] FC06 I mangle bus=1 addr=10 567.724A -> 1900.379A
[modbus-proxy] FC06 I mangle bus=2 addr=11 720.034A -> 2058.276A
[modbus-proxy] FC06 I mangle bus=3 addr=12 625.862A -> 2156.310A
[modbus-proxy] FC06 I mangle bus=4 addr=13 802.759A -> 1975.621A
[modbus-proxy] FC06 I mangle bus=5 addr=14 916.793A -> 1917.828A
[modbus-proxy] FC06 I mangle bus=1 addr=10 307.172A -> 2094.448A
[modbus-proxy] FC06 I mangle bus=2 addr=11 661.276A -> 1907.138A
[modbus-proxy] FC06 I mangle bus=3 addr=12 250.621A -> 2125.690A
[modbus-proxy] FC06 I mangle bus=4 addr=13 327.552A -> 2048.483A
[modbus-proxy] FC06 I mangle bus=5 addr=14 619.138A -> 2115.483A
[modbus-proxy] FC06 I mangle bus=1 addr=10 602.621A -> 2075.586A
[modbus-proxy] FC06 I mangle bus=2 addr=11 863.552A -> 1939.310A
[modbus-proxy] FC06 I mangle bus=3 addr=12 720.138A -> 1823.862A
[modbus-proxy] FC06 I mangle bus=4 addr=13 466.621A -> 1882.103A
[modbus-proxy] FC06 I mangle bus=5 addr=14 374.931A -> 2060.483A
[modbus-proxy] FC06 I mangle bus=1 addr=10 739.655A -> 1981.172A
[modbus-proxy] FC06 I mangle bus=2 addr=11 524.517A -> 2090.966A
[modbus-proxy] FC06 I mangle bus=3 addr=12 869.034A -> 2043.793A
[modbus-proxy] FC06 I mangle bus=4 addr=13 329.172A -> 1947.345A
[modbus-proxy] FC06 I mangle bus=5 addr=14 885.207A -> 2154.034A
[modbus-proxy] FC06 I mangle bus=1 addr=10 793.034A -> 1885.103A
[modbus-proxy] FC06 I mangle bus=2 addr=11 276.483A -> 2058.897A
[modbus-proxy] FC06 I mangle bus=3 addr=12 666.931A -> 2004.069A
[modbus-proxy] FC06 I mangle bus=4 addr=13 895.586A -> 1841.931A
[modbus-proxy] FC06 I mangle bus=5 addr=14 156.103A -> 1994.034A
