cmd_id,origin_cycle,ts_sent,bus,breaker_DT
14,19,1780254752.958784,2,0
14,19,1780254752.958784,3,0
14,19,1780254752.958784,4,0
14,19,1780254752.958784,5,1
15,20,1780254753.987328,1,1
15,20,1780254753.987328,2,1
15,20,1780254753.987328,3,1
15,20,1780254753.987328,4,1
15,20,1780254753.987328,5,1
16,21,1780254755.190822,1,1
16,21,1780254755.190822,2,1
16,21,1780254755.190822,3,1
16,21,1780254755.190822,4,0
16,21,1780254755.190822,5,1
17,22,1780254756.175982,1,0
17,22,1780254756.175982,2,0
17,22,1780254756.175982,3,0
17,22,1780254756.175982,4,1
17,22,1780254756.175982,5,1
18,23,1780254757.199840,1,1
18,23,1780254757.199840,2,1
18,23,1780254757.199840,3,1
18,23,1780254757.199840,4,1
18,23,1780254757.199840,5,1
19,24,1780254758.191447,1,1
19,24,1780254758.191447,2,0
19,24,1780254758.191447,3,0
19,24,1780254758.191447,4,1
19,24,1780254758.191447,5,1
20,25,1780254759.197680,1,0
20,25,1780254759.197680,2,0
20,25,1780254759.197680,3,0
20,25,1780254759.197680,4,0
20,25,1780254759.197680,5,1
21,26,1780254760.234707,1,1
21,26,1780254760.234707,2,1
21,26,1780254760.234707,3,0
21,26,1780254760.234707,4,1
21,26,1780254760.234707,5,1
22,27,1780254761.235650,1,1
22,27,1780254761.235650,2,0
22,27,1780254761.235650,3,0
22,27,1780254761.235650,4,0
22,27,1780254761.235650,5,1
23,28,1780254762.312421,1,0
23,28,1780254762.312421,2,1
23,28,1780254762.312421,3,1
23,28,1780254762.312421,4,1
23,28,1780254762.312421,5,1
24,29,1780254763.309366,1,1
24,29,1780254763.309366,2,1
24,29,1780254763.309366,3,0
24,29,1780254763.309366,4,0
24,29,1780254763.309366,5,1
25,30,1780254764.302765,1,1
25,30,1780254764.302765,2,1
25,30,1780254764.302765,3,1
25,30,1780254764.302765,4,1
25,30,1780254764.302765,5,1
26,31,1780254765.343306,1,1
26,31,1780254765.343306,2,1
26,31,1780254765.343306,3,1
26,31,1780254765.343306,4,0
26,31,1780254765.343306,5,1
27,32,1780254766.368830,1,0
27,32,1780254766.368830,2,0
27,32,1780254766.368830,3,0
27,32,1780254766.368830,4,1
27,32,1780254766.368830,5,1
28,33,1780254767.362248,1,1
28,33,1780254767.362248,2,1
28,33,1780254767.362248,3,1
28,33,1780254767.362248,4,1
28,33,1780254767.362248,5,1
29,34,1780254768.345287,1,1
29,34,1780254768.345287,2,0
29,34,1780254768.345287,3,0
29,34,1780254768.345287,4,1
29,34,1780254768.345287,5,1
30,35,1780254769.366164,1,0
30,35,1780254769.366164,2,0
30,35,1780254769.366164,3,0
30,35,1780254769.366164,4,0
30,35,1780254769.366164,5,1
31,36,1780254770.365298,1,1
31,36,1780254770.365298,2,1
31,36,1780254770.365298,3,0
31,36,1780254770.365298,4,1
31,36,1780254770.365298,5,1
32,37,1780254771.362781,1,1
32,37,1780254771.362781,2,0
32,37,1780254771.362781,3,0
32,37,1780254771.362781,4,0
32,37,1780254771.362781,5,1
33,38,1780254772.376597,1,1
33,38,1780254772.376597,2,1
33,38,1780254772.376597,3,1
33,38,1780254772.376597,4,1
33,38,1780254772.376597,5,1
34,39,1780254773.378440,1,1
34,39,1780254773.378440,2,1
34,39,1780254773.378440,3,0
34,39,1780254773.378440,4,0
34,39,1780254773.378440,5,1
35,40,1780254774.375553,1,1
35,40,1780254774.375553,2,0
35,40,1780254774.375553,3,0
35,40,1780254774.375553,4,1
35,40,1780254774.375553,5,1
36,41,1780254775.382557,1,1
36,41,1780254775.382557,2,1
36,41,1780254775.382557,3,1
36,41,1780254775.382557,4,0
36,41,1780254775.382557,5,1
37,42,1780254776.387280,1,1
37,42,1780254776.387280,2,1
37,42,1780254776.387280,3,0
37,42,1780254776.387280,4,1
