timestamp_b,waktu,bus,v_berfore_b,v_after_b,i_before_b,i_after_b,v_dt_b,timestamp_m,v_berfore_m,v_after_m,i_before_m,i_after_m,v_dt_m,delta_i_m,delta_i_b,abs_delta_i_m,abs_delta_i_b,drift_v_dt,abs_drift_v_dt,pct_i_inj_m,pct_v_dt_vs_b
2026-05-12 23:44:03,9,2,1.004,1.004,387.344828,387.344828,1.045357,2026-05-12 23:23:49,0.976,0.976,512.482759,512.482759,1.013734,0.0,0.0,0.0,0.0,-0.03162300000000018,0.03162300000000018,0.0,3.02509094689654
2026-05-12 23:44:03,9,3,1.034,1.034,415.551724,415.551724,1.040063,2026-05-12 23:23:49,1.014,1.014,351.103448,351.103448,1.007594,0.0,0.0,0.0,0.0,-0.03246899999999986,0.03246899999999986,0.0,3.1218301169046065
2026-05-12 23:44:03,9,4,0.972,0.972,105.034483,105.034483,1.038424,2026-05-12 23:23:49,0.967,0.967,423.068966,423.068966,1.006391,0.0,0.0,0.0,0.0,-0.03203299999999998,0.03203299999999998,0.0,3.0847707650393548
2026-05-12 23:44:03,9,5,0.981,0.981,209.827586,209.827586,1.040076,2026-05-12 23:23:49,0.966,0.966,264.068966,264.068966,1.008437,0.0,0.0,0.0,0.0,-0.03163899999999997,0.03163899999999997,0.0,3.0419892363231225
2026-05-12 23:44:07,10,1,1.048,1.048,352.655172,352.655172,1.044135,2026-05-12 23:23:53,1.048,1.048,352.655172,1527.37931,1.033449,1174.724138,0.0,1174.724138,0.0,-0.010685999999999973,0.010685999999999973,333.1084379130886,1.023430877210865
2026-05-12 23:44:07,10,2,1.004,1.004,387.344828,387.344828,1.045175,2026-05-12 23:23:53,1.004,1.004,387.344828,1688.241379,1.026523,1300.896551,0.0,1300.896551,0.0,-0.01865199999999989,0.01865199999999989,335.84972706580265,1.7845815277014925
2026-05-12 23:44:07,10,3,1.034,1.034,415.551724,415.551724,1.040288,2026-05-12 23:23:53,1.034,1.034,415.551724,1518.655172,1.023265,1103.103448,0.0,1103.103448,0.0,-0.01702300000000001,0.01702300000000001,265.455148333219,1.6363737718435922
2026-05-12 23:44:07,10,4,0.972,0.972,105.034483,105.034483,1.040019,2026-05-12 23:23:53,0.972,0.972,105.034483,1515.0,1.023107,1409.965517,0.0,1409.965517,0.0,-0.016912000000000038,0.016912000000000038,1342.383437614641,1.6261241365531587
2026-05-12 23:44:07,10,5,0.981,0.981,209.827586,209.827586,1.041483,2026-05-12 23:23:53,0.981,0.981,209.827586,1661.724138,1.024945,1451.8965520000002,0.0,1451.8965520000002,0.0,-0.01653799999999994,0.01653799999999994,691.9474091840937,1.5879279819373586
2026-05-12 23:44:11,11,1,0.971,0.971,518.241379,518.241379,1.043478,2026-05-12 23:23:57,0.971,0.971,518.241379,1582.689655,1.024095,1064.4482759999999,0.0,1064.4482759999999,0.0,-0.019382999999999928,0.019382999999999928,205.3962337009831,1.8575379626043433
2026-05-12 23:44:11,11,2,1.037,1.037,218.413793,218.413793,1.045047,2026-05-12 23:23:57,1.037,1.037,218.413793,1659.517241,1.01344,1441.103448,0.0,1441.103448,0.0,-0.03160700000000016,0.03160700000000016,659.8042282988777,3.024457270319477
2026-05-12 23:44:11,11,3,1.014,1.014,258.275862,258.275862,1.040418,2026-05-12 23:23:57,1.014,1.014,258.275862,1504.482759,1.004327,1246.206897,0.0,1246.206897,0.0,-0.036091000000000095,0.036091000000000095,482.5100117853444,3.4688942295607292
2026-05-12 23:44:11,11,4,1.041,1.041,278.586207,278.586207,1.041036,2026-05-12 23:23:57,1.041,1.041,278.586207,1575.62069,0.998232,1297.034483,0.0,1297.034483,0.0,-0.042804000000000064,0.042804000000000064,465.57742119092984,4.111673367576465
2026-05-12 23:44:11,11,5,0.976,0.976,201.413793,201.413793,1.042379,2026-05-12 23:23:57,0.976,0.976,201.413793,1679.551724,1.000517,1478.137931,0.0,1478.137931,0.0,-0.041861999999999844,0.041861999999999844,733.8811814448022,4.016005690813014
2026-05-12 23:44:15,12,1,1.006,1.006,202.517241,202.517241,1.042087,2026-05-12 23:24:01,1.006,1.006,202.517241,202.517241,1.017721,0.0,0.0,0.0,0.0,-0.024365999999999888,0.024365999999999888,0.0,2.33819249032163
2026-05-12 23:44:15,12,2,1.008,1.008,479.413793,479.413793,1.045813,2026-05-12 23:24:01,1.008,1.008,479.413793,479.413793,1.001616,0.0,0.0,0.0,0.0,-0.04419700000000004,0.04419700000000004,0.0,4.2260901287074395
2026-05-12 23:44:15,12,3,0.989,0.989,186.517241,186.517241,1.040862,2026-05-12 23:24:01,0.989,0.989,186.517241,186.517241,0.985864,0.0,0.0,0.0,0.0,-0.05499799999999999,0.05499799999999999,0.0,5.283889694038315
2026-05-12 23:44:15,12,4,1.049,1.049,297.655172,297.655172,1.040687,2026-05-12 23:24:01,1.049,1.049,297.655172,297.655172,0.973007,0.0,0.0,0.0,0.0,-0.06767999999999996,0.06767999999999996,0.0,6.503396307916405
2026-05-12 23:44:15,12,5,0.959,0.959,113.448276,113.448276,1.042172,2026-05-12 23:24:01,0.959,0.959,113.448276,113.448276,0.976065,0.0,0.0,0.0,0.0,-0.06610700000000014,0.06610700000000014,0.0,6.3431947832572915
2026-05-12 23:44:19,13,1,0.96,0.96,379.172414,379.172414,1.043309,2026-05-12 23:24:06,0.96,0.96,379.172414,1638.931034,1.027665,1259.75862,0.0,1259.75862,0.0,-0.01564399999999999,0.01564399999999999,332.238994759152,1.4994598901193597
2026-05-12 23:44:19,13,2,1.029,1.029,266.206897,266.206897,1.045125,2026-05-12 23:24:06,1.029,1.029,266.206897,266.206897,1.020222,0.0,0.0,0.0,0.0,-0.02490300000000012,0.02490300000000012,0.0,2.3827771774833004
2026-05-12 23:44:19,13,3,0.956,0.956,267.827586,267.827586,1.040846,2026-05-12 23:24:06,0.956,0.956,267.827586,1537.103448,1.012129,1269.275862,0.0,1269.275862,0.0,-0.02871699999999988,0.02871699999999988,473.9152811767669,2.759005652364502
2026-05-12 23:44:19,13,4,1.049,1.049,305.896552,305.896552,1.040334,2026-05-12 23:24:06,1.049,1.049,305.896552,1571.0,0.99021,1265.103448,0.0,1265.103448,0.0,-0.05012400000000006,0.05012400000000006,413.57231246734585,4.818068038900908
2026-05-12 23:44:19,13,5,1.047,1.047,446.137931,446.137931,1.042024,2026-05-12 23:24:06,1.047,1.047,446.137931,1653.034483,0.996999,1206.896552,0.0,1206.896552,0.0,-0.04502500000000009,0.04502500000000009,270.5209455267749,4.320917748227576
2026-05-12 23:44:23,14,1,0.951,0.951,426.275862,426.275862,1.042922,2026-05-12 23:24:10,0.96,0.96,379.172414,379.172414,1.020727,0.0,0.0,0.0,0.0,-0.022194999999999965,0.022194999999999965,0.0,2.128155315423245
2026-05-12 23:44:23,14,2,1.018,1.018,318.758621,318.758621,1.045428,2026-05-12 23:24:10,1.029,1.029,266.206897,1546.724138,1.02004,1280.517241,0.0,1280.517241,0.0,-0.025387999999999966,0.025387999999999966,481.0233133027229,2.4284790512321437
2026-05-12 23:44:23,14,3,0.976,0.976,379.172414,379.172414,1.040547,2026-05-12 23:24:10,0.956,0.956,267.827586,1563.758621,1.004452,1295.931035,0.0,1295.931035,0.0,-0.03609500000000021,0.03609500000000021,483.86764392571706,3.4688485926451875
2026-05-12 23:44:23,14,4,0.961,0.961,290.827586,290.827586,1.039025,2026-05-12 23:24:10,1.049,1.049,305.896552,1507.862069,0.98169,1201.965517,0.0,1201.965517,0.0,-0.057335000000000136,0.057335000000000136,392.93202398393817,5.518154033331112
