cmd_id,origin_cycle,ts_received,bus,breaker_DT
30,34,1780260755.371583,2,0
30,34,1780260755.371583,3,0
30,34,1780260755.371583,4,1
30,34,1780260755.371583,5,1
31,35,1780260756.373074,1,0
31,35,1780260756.373074,2,0
31,35,1780260756.373074,3,0
31,35,1780260756.373074,4,1
31,35,1780260756.373074,5,1
32,36,1780260757.376821,1,1
32,36,1780260757.376821,2,1
32,36,1780260757.376821,3,0
32,36,1780260757.376821,4,1
32,36,1780260757.376821,5,1
33,37,1780260758.407936,1,1
33,37,1780260758.407936,2,0
33,37,1780260758.407936,3,0
33,37,1780260758.407936,4,1
33,37,1780260758.407936,5,1
34,38,1780260759.409212,1,1
34,38,1780260759.409212,2,1
34,38,1780260759.409212,3,1
34,38,1780260759.409212,4,1
34,38,1780260759.409212,5,1
35,39,1780260760.410007,1,1
35,39,1780260760.410007,2,1
35,39,1780260760.410007,3,0
35,39,1780260760.410007,4,1
35,39,1780260760.410007,5,1
36,40,1780260761.410381,1,1
36,40,1780260761.410381,2,0
36,40,1780260761.410381,3,0
36,40,1780260761.410381,4,1
36,40,1780260761.410381,5,1
37,41,1780260762.411062,1,0
37,41,1780260762.411062,2,0
37,41,1780260762.411062,3,1
37,41,1780260762.411062,4,1
37,41,1780260762.411062,5,1
38,42,1780260763.412992,1,1
38,42,1780260763.412992,2,1
38,42,1780260763.412992,3,0
38,42,1780260763.412992,4,1
38,42,1780260763.412992,5,1
39,43,1780260764.414147,1,1
39,43,1780260764.414147,2,0
39,43,1780260764.414147,3,1
39,43,1780260764.414147,4,1
39,43,1780260764.414147,5,1
40,44,1780260765.414468,1,1
40,44,1780260765.414468,2,1
40,44,1780260765.414468,3,1
40,44,1780260765.414468,4,1
40,44,1780260765.414468,5,1
41,45,1780260766.414598,1,1
41,45,1780260766.414598,2,1
41,45,1780260766.414598,3,1
41,45,1780260766.414598,4,1
41,45,1780260766.414598,5,1
42,46,1780260767.415771,1,0
42,46,1780260767.415771,2,0
42,46,1780260767.415771,3,0
42,46,1780260767.415771,4,1
42,46,1780260767.415771,5,1
43,47,1780260768.415995,1,0
43,47,1780260768.415995,2,0
43,47,1780260768.415995,3,0
43,47,1780260768.415995,4,1
43,47,1780260768.415995,5,1
44,48,1780260769.417102,1,1
44,48,1780260769.417102,2,0
44,48,1780260769.417102,3,0
44,48,1780260769.417102,4,1
44,48,1780260769.417102,5,1
45,49,1780260770.418766,1,1
45,49,1780260770.418766,2,0
45,49,1780260770.418766,3,0
45,49,1780260770.418766,4,1
45,49,1780260770.418766,5,1
46,50,1780260771.420632,1,1
46,50,1780260771.420632,2,1
46,50,1780260771.420632,3,0
46,50,1780260771.420632,4,1
46,50,1780260771.420632,5,1
47,51,1780260772.421522,1,1
47,51,1780260772.421522,2,1
47,51,1780260772.421522,3,0
47,51,1780260772.421522,4,1
47,51,1780260772.421522,5,1
48,52,1780260773.422136,1,1
48,52,1780260773.422136,2,1
48,52,1780260773.422136,3,1
48,52,1780260773.422136,4,1
48,52,1780260773.422136,5,1
49,53,1780260774.422425,1,1
49,53,1780260774.422425,2,1
49,53,1780260774.422425,3,1
49,53,1780260774.422425,4,1
49,53,1780260774.422425,5,1
50,54,1780260775.426927,1,0
50,54,1780260775.426927,2,0
50,54,1780260775.426927,3,0
50,54,1780260775.426927,4,1
50,54,1780260775.426927,5,1
51,55,1780260776.428238,1,0
51,55,1780260776.428238,2,0
51,55,1780260776.428238,3,0
51,55,1780260776.428238,4,1
51,55,1780260776.428238,5,1
52,56,1780260777.429069,1,1
52,56,1780260777.429069,2,0
52,56,1780260777.429069,3,0
52,56,1780260777.429069,4,1
52,56,1780260777.429069,5,1
53,57,1780260778.460719,1,1
53,57,1780260778.460719,2,0
53,57,1780260778.460719,3,0
53,57,1780260778.460719,4,1
53,57,1780260778.460719,5,1
54,58,1780260779.462158,1,1
54,58,1780260779.462158,2,1
54,58,1780260779.462158,3,0
54,58,1780260779.462158,4,1
54,58,1780260779.462158,5,1
55,59,1780260780.485919,1,1
55,59,1780260780.485919,2,1
55,59,1780260780.485919,3,0
55,59,1780260780.485919,4,1
55,59,1780260780.485919,5,1
56,60,1780260781.491606,1,1
56,60,1780260781.491606,2,1
56,60,1780260781.491606,3,1
56,60,1780260781.491606,4,1
56,60,1780260781.491606,5,1
57,61,1780260782.499084,1,1
57,61,1780260782.499084,2,1
57,61,1780260782.499084,3,1
57,61,1780260782.499084,4,1
57,61,1780260782.499084,5,1
58,62,1780260783.563200,1,0
58,62,1780260783.563200,2,0
58,62,1780260783.563200,3,0
58,62,1780260783.563200,4,1
58,62,1780260783.563200,5,1
59,63,1780260784.580042,1,1
59,63,1780260784.580042,2,0
59,63,1780260784.580042,3,0
59,63,1780260784.580042,4,1
59,63,1780260784.580042,5,1
60,64,1780260785.580614,1,1
60,64,1780260785.580614,2,0
60,64,1780260785.580614,3,0
60,64,1780260785.580614,4,1
60,64,1780260785.580614,5,1
61,65,1780260786.580848,1,1
61,65,1780260786.580848,2,1
61,65,1780260786.580848,3,0
61,65,1780260786.580848,4,1
61,65,1780260786.580848,5,1
62,66,1780260787.589408,1,1
62,66,1780260787.589408,2,1
62,66,1780260787.589408,3,0
62,66,1780260787.589408,4,1
62,66,1780260787.589408,5,1
63,67,1780260788.589927,1,1
63,67,1780260788.589927,2,1
63,67,1780260788.589927,3,1
63,67,1780260788.589927,4,1
63,67,1780260788.589927,5,1
64,68,1780260789.590645,1,1
64,68,1780260789.590645,2,1
64,68,1780260789.590645,3,1
64,68,1780260789.590645,4,1
64,68,1780260789.590645,5,1
65,69,1780260790.652469,1,0
65,69,1780260790.652469,2,0
65,69,1780260790.652469,3,0
65,69,1780260790.652469,4,1
65,69,1780260790.652469,5,1
66,70,1780260791.652294,1,0
66,70,1780260791.652294,2,0
66,70,1780260791.652294,3,0
66,70,1780260791.652294,4,1
66,70,1780260791.652294,5,1
67,71,1780260792.662380,1,1
67,71,1780260792.662380,2,0
67,71,1780260792.662380,3,0
67,71,1780260792.662380,4,1
67,71,1780260792.662380,5,1
68,72,1780260793.695824,1,1
68,72,1780260793.695824,2,0
68,72,1780260793.695824,3,0
68,72,1780260793.695824,4,1
68,72,1780260793.695824,5,1
69,73,1780260794.702087,1,1
69,73,1780260794.702087,2,1
69,73,1780260794.702087,3,0
69,73,1780260794.702087,4,1
69,73,1780260794.702087,5,1
70,74,1780260795.702820,1,1
70,74,1780260795.702820,2,1
70,74,1780260795.702820,3,0
