cmd_id,origin_cycle,ts_sent,bus,breaker_DT
42,46,1780260765.344974,3,0
42,46,1780260765.344974,4,1
42,46,1780260765.344974,5,1
43,47,1780260766.392184,1,0
43,47,1780260766.392184,2,0
43,47,1780260766.392184,3,0
43,47,1780260766.392184,4,1
43,47,1780260766.392184,5,1
44,48,1780260767.411399,1,1
44,48,1780260767.411399,2,0
44,48,1780260767.411399,3,0
44,48,1780260767.411399,4,1
44,48,1780260767.411399,5,1
45,49,1780260768.493034,1,1
45,49,1780260768.493034,2,0
45,49,1780260768.493034,3,0
45,49,1780260768.493034,4,1
45,49,1780260768.493034,5,1
46,50,1780260769.494717,1,1
46,50,1780260769.494717,2,1
46,50,1780260769.494717,3,0
46,50,1780260769.494717,4,1
46,50,1780260769.494717,5,1
47,51,1780260770.411747,1,1
47,51,1780260770.411747,2,1
47,51,1780260770.411747,3,0
47,51,1780260770.411747,4,1
47,51,1780260770.411747,5,1
48,52,1780260771.413097,1,1
48,52,1780260771.413097,2,1
48,52,1780260771.413097,3,1
48,52,1780260771.413097,4,1
48,52,1780260771.413097,5,1
49,53,1780260772.501471,1,1
49,53,1780260772.501471,2,1
49,53,1780260772.501471,3,1
49,53,1780260772.501471,4,1
49,53,1780260772.501471,5,1
50,54,1780260773.447670,1,0
50,54,1780260773.447670,2,0
50,54,1780260773.447670,3,0
50,54,1780260773.447670,4,1
50,54,1780260773.447670,5,1
51,55,1780260774.486427,1,0
51,55,1780260774.486427,2,0
51,55,1780260774.486427,3,0
51,55,1780260774.486427,4,1
51,55,1780260774.486427,5,1
52,56,1780260775.487867,1,1
52,56,1780260775.487867,2,0
52,56,1780260775.487867,3,0
52,56,1780260775.487867,4,1
52,56,1780260775.487867,5,1
53,57,1780260776.537720,1,1
53,57,1780260776.537720,2,0
53,57,1780260776.537720,3,0
53,57,1780260776.537720,4,1
53,57,1780260776.537720,5,1
54,58,1780260777.622062,1,1
54,58,1780260777.622062,2,1
54,58,1780260777.622062,3,0
54,58,1780260777.622062,4,1
54,58,1780260777.622062,5,1
55,59,1780260778.700464,1,1
55,59,1780260778.700464,2,1
55,59,1780260778.700464,3,0
55,59,1780260778.700464,4,1
55,59,1780260778.700464,5,1
56,60,1780260779.557563,1,1
56,60,1780260779.557563,2,1
56,60,1780260779.557563,3,1
56,60,1780260779.557563,4,1
56,60,1780260779.557563,5,1
57,61,1780260780.563537,1,1
57,61,1780260780.563537,2,1
57,61,1780260780.563537,3,1
57,61,1780260780.563537,4,1
57,61,1780260780.563537,5,1
58,62,1780260781.617669,1,0
58,62,1780260781.617669,2,0
58,62,1780260781.617669,3,0
58,62,1780260781.617669,4,1
58,62,1780260781.617669,5,1
59,63,1780260782.579178,1,1
59,63,1780260782.579178,2,0
59,63,1780260782.579178,3,0
59,63,1780260782.579178,4,1
59,63,1780260782.579178,5,1
60,64,1780260783.641262,1,1
60,64,1780260783.641262,2,0
60,64,1780260783.641262,3,0
60,64,1780260783.641262,4,1
60,64,1780260783.641262,5,1
61,65,1780260784.489688,1,1
61,65,1780260784.489688,2,1
61,65,1780260784.489688,3,0
61,65,1780260784.489688,4,1
61,65,1780260784.489688,5,1
62,66,1780260785.645478,1,1
62,66,1780260785.645478,2,1
62,66,1780260785.645478,3,0
62,66,1780260785.645478,4,1
62,66,1780260785.645478,5,1
63,67,1780260786.666036,1,1
63,67,1780260786.666036,2,1
63,67,1780260786.666036,3,1
63,67,1780260786.666036,4,1
63,67,1780260786.666036,5,1
64,68,1780260787.679364,1,1
64,68,1780260787.679364,2,1
64,68,1780260787.679364,3,1
64,68,1780260787.679364,4,1
64,68,1780260787.679364,5,1
65,69,1780260788.603896,1,0
65,69,1780260788.603896,2,0
65,69,1780260788.603896,3,0
65,69,1780260788.603896,4,1
65,69,1780260788.603896,5,1
66,70,1780260789.625264,1,0
66,70,1780260789.625264,2,0
66,70,1780260789.625264,3,0
66,70,1780260789.625264,4,1
66,70,1780260789.625264,5,1
67,71,1780260790.720723,1,1
67,71,1780260790.720723,2,0
67,71,1780260790.720723,3,0
67,71,1780260790.720723,4,1
67,71,1780260790.720723,5,1
68,72,1780260791.510665,1,1
68,72,1780260791.510665,2,0
68,72,1780260791.510665,3,0
68,72,1780260791.510665,4,1
68,72,1780260791.510665,5,1
69,73,1780260792.694116,1,1
69,73,1780260792.694116,2,1
69,73,1780260792.694116,3,0
69,73,1780260792.694116,4,1
69,73,1780260792.694116,5,1
70,74,1780260793.558343,1,1
70,74,1780260793.558343,2,1
70,74,1780260793.558343,3,0
70,74,1780260793.558343,4,1
70,74,1780260793.558343,5,1
71,75,1780260794.671964,1,1
71,75,1780260794.671964,2,1
71,75,1780260794.671964,3,1
71,75,1780260794.671964,4,1
71,75,1780260794.671964,5,1
72,76,1780260795.565651,1,1
72,76,1780260795.565651,2,1
72,76,1780260795.565651,3,1
72,76,1780260795.565651,4,1
72,76,1780260795.565651,5,1
73,77,1780260796.610761,1,0
73,77,1780260796.610761,2,0
73,77,1780260796.610761,3,0
73,77,1780260796.610761,4,1
73,77,1780260796.610761,5,1
74,78,1780260797.684385,1,0
74,78,1780260797.684385,2,0
74,78,1780260797.684385,3,0
74,78,1780260797.684385,4,0
74,78,1780260797.684385,5,1
75,79,1780260798.690659,1,1
75,79,1780260798.690659,2,0
75,79,1780260798.690659,3,0
75,79,1780260798.690659,4,1
75,79,1780260798.690659,5,1
76,80,1780260799.872208,1,1
76,80,1780260799.872208,2,0
