Memulai Server OPC UA
Endpoints other than open requested but private key and certificate are not set.
Listening on 10.0.2.2:4840


[2026-05-12 22:19:11] [iter 8] [Bus 1] P/Q/CMD -> V_in=0.9870 pu, I_in=182.6897 A, V_out=0.9870 pu, I_out=182.6897 A, V_DT=1.0447 pu, P=59.7202 MW, Q=17.4184 MVar
[2026-05-12 22:19:11] [iter 8] [Bus 2] P/Q/CMD -> V_in=0.9760 pu, I_in=512.4828 A, V_out=0.9760 pu, I_out=512.4828 A, V_DT=1.0468 pu, P=196.7220 MW, Q=64.6594 MVar
[2026-05-12 22:19:11] [iter 8] [Bus 3] P/Q/CMD -> V_in=1.0140 pu, I_in=351.1034 A, V_out=1.0140 pu, I_out=351.1034 A, V_DT=1.0409 pu, P=119.1417 MW, Q=29.8597 MVar
[2026-05-12 22:19:11] [iter 8] [Bus 4] P/Q/CMD -> V_in=0.9670 pu, I_in=423.0690 A, V_out=0.9670 pu, I_out=423.0690 A, V_DT=1.0391 pu, P=152.5747 MW, Q=55.3772 MVar
[2026-05-12 22:19:11] [iter 8] [Bus 5] P/Q/CMD -> V_in=0.9660 pu, I_in=264.0690 A, V_out=0.9660 pu, I_out=264.0690 A, V_DT=1.0406 pu, P=84.4860 MW, Q=24.6418 MVar


[2026-05-12 22:19:15] [iter 9] [Bus 1] P/Q/CMD -> V_in=0.9870 pu, I_in=182.6897 A, V_out=0.9870 pu, I_out=182.6897 A, V_DT=1.0451 pu, P=59.7202 MW, Q=17.4184 MVar
[2026-05-12 22:19:15] [iter 9] [Bus 2] P/Q/CMD -> V_in=0.9760 pu, I_in=512.4828 A, V_out=0.9760 pu, I_out=512.4828 A, V_DT=1.0454 pu, P=196.7220 MW, Q=64.6594 MVar
[2026-05-12 22:19:15] [iter 9] [Bus 3] P/Q/CMD -> V_in=1.0140 pu, I_in=351.1034 A, V_out=1.0140 pu, I_out=351.1034 A, V_DT=1.0401 pu, P=119.1417 MW, Q=29.8597 MVar
[2026-05-12 22:19:15] [iter 9] [Bus 4] P/Q/CMD -> V_in=0.9670 pu, I_in=423.0690 A, V_out=0.9670 pu, I_out=423.0690 A, V_DT=1.0384 pu, P=152.5747 MW, Q=55.3772 MVar
[2026-05-12 22:19:15] [iter 9] [Bus 5] P/Q/CMD -> V_in=0.9660 pu, I_in=264.0690 A, V_out=0.9660 pu, I_out=264.0690 A, V_DT=1.0401 pu, P=84.4860 MW, Q=24.6418 MVar


[2026-05-12 22:19:19] [iter 10] [Bus 1] P/Q/CMD -> V_in=1.0480 pu, I_in=352.6552 A, V_out=1.0480 pu, I_out=352.6552 A, V_DT=1.0451 pu, P=122.4058 MW, Q=35.7017 MVar
[2026-05-12 22:19:19] [iter 10] [Bus 2] P/Q/CMD -> V_in=1.0040 pu, I_in=387.3448 A, V_out=1.0040 pu, I_out=387.3448 A, V_DT=1.0454 pu, P=152.9521 MW, Q=50.2729 MVar
[2026-05-12 22:19:19] [iter 10] [Bus 3] P/Q/CMD -> V_in=1.0340 pu, I_in=415.5517 A, V_out=1.0340 pu, I_out=415.5517 A, V_DT=1.0401 pu, P=143.7926 MW, Q=36.0378 MVar
[2026-05-12 22:19:19] [iter 10] [Bus 4] P/Q/CMD -> V_in=0.9720 pu, I_in=105.0345 A, V_out=0.9720 pu, I_out=105.0345 A, V_DT=1.0384 pu, P=38.0753 MW, Q=13.8195 MVar
[2026-05-12 22:19:19] [iter 10] [Bus 5] P/Q/CMD -> V_in=0.9810 pu, I_in=209.8276 A, V_out=0.9810 pu, I_out=209.8276 A, V_DT=1.0401 pu, P=68.1745 MW, Q=19.8842 MVar


[2026-05-12 22:19:23] [iter 11] [Bus 1] P/Q/CMD -> V_in=0.9710 pu, I_in=518.2414 A, V_out=0.9710 pu, I_out=518.2414 A, V_DT=1.0454 pu, P=166.6639 MW, Q=48.6103 MVar
[2026-05-12 22:19:23] [iter 11] [Bus 2] P/Q/CMD -> V_in=1.0370 pu, I_in=218.4138 A, V_out=1.0370 pu, I_out=218.4138 A, V_DT=1.0444 pu, P=89.0805 MW, Q=29.2794 MVar
[2026-05-12 22:19:23] [iter 11] [Bus 3] P/Q/CMD -> V_in=1.0140 pu, I_in=258.2759 A, V_out=1.0140 pu, I_out=258.2759 A, V_DT=1.0395 pu, P=87.6421 MW, Q=21.9652 MVar
[2026-05-12 22:19:23] [iter 11] [Bus 4] P/Q/CMD -> V_in=1.0410 pu, I_in=278.5862 A, V_out=1.0410 pu, I_out=278.5862 A, V_DT=1.0379 pu, P=108.1571 MW, Q=39.2558 MVar
[2026-05-12 22:19:23] [iter 11] [Bus 5] P/Q/CMD -> V_in=0.9760 pu, I_in=201.4138 A, V_out=0.9760 pu, I_out=201.4138 A, V_DT=1.0397 pu, P=65.1073 MW, Q=18.9896 MVar


[2026-05-12 22:19:27] [iter 12] [Bus 1] P/Q/CMD -> V_in=1.0060 pu, I_in=202.5172 A, V_out=1.0060 pu, I_out=202.5172 A, V_DT=1.0443 pu, P=67.4762 MW, Q=19.6805 MVar
[2026-05-12 22:19:27] [iter 12] [Bus 2] P/Q/CMD -> V_in=1.0080 pu, I_in=479.4138 A, V_out=1.0080 pu, I_out=479.4138 A, V_DT=1.0443 pu, P=190.0619 MW, Q=62.4703 MVar
[2026-05-12 22:19:27] [iter 12] [Bus 3] P/Q/CMD -> V_in=0.9890 pu, I_in=186.5172 A, V_out=0.9890 pu, I_out=186.5172 A, V_DT=1.0395 pu, P=61.7314 MW, Q=15.4713 MVar
[2026-05-12 22:19:27] [iter 12] [Bus 4] P/Q/CMD -> V_in=1.0490 pu, I_in=297.6552 A, V_out=1.0490 pu, I_out=297.6552 A, V_DT=1.0386 pu, P=116.4484 MW, Q=42.2651 MVar
[2026-05-12 22:19:27] [iter 12] [Bus 5] P/Q/CMD -> V_in=0.9590 pu, I_in=113.4483 A, V_out=0.9590 pu, I_out=113.4483 A, V_DT=1.0404 pu, P=36.0335 MW, Q=10.5098 MVar


[2026-05-12 22:19:31] [iter 13] [Bus 1] P/Q/CMD -> V_in=0.9600 pu, I_in=379.1724 A, V_out=0.9600 pu, I_out=379.1724 A, V_DT=1.0447 pu, P=120.5586 MW, Q=35.1629 MVar
[2026-05-12 22:19:31] [iter 13] [Bus 2] P/Q/CMD -> V_in=1.0290 pu, I_in=266.2069 A, V_out=1.0290 pu, I_out=266.2069 A, V_DT=1.0442 pu, P=107.7354 MW, Q=35.4109 MVar
[2026-05-12 22:19:31] [iter 13] [Bus 3] P/Q/CMD -> V_in=0.9560 pu, I_in=267.8276 A, V_out=0.9560 pu, I_out=267.8276 A, V_DT=1.0400 pu, P=85.6848 MW, Q=21.4746 MVar
[2026-05-12 22:19:31] [iter 13] [Bus 4] P/Q/CMD -> V_in=1.0490 pu, I_in=305.8966 A, V_out=1.0490 pu, I_out=305.8966 A, V_DT=1.0390 pu, P=119.6726 MW, Q=43.4354 MVar
[2026-05-12 22:19:31] [iter 13] [Bus 5] P/Q/CMD -> V_in=1.0470 pu, I_in=446.1379 A, V_out=1.0470 pu, I_out=446.1379 A, V_DT=1.0409 pu, P=154.7056 MW, Q=45.1225 MVar


